insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','23Q3',7.68,-6.15,-44.5,-0.87,-2.65,-149,-11.3,-24.2,-5.03,-5.72,-839,-65.6,-70.5,-4.45,-4.73,-1707,-57.8,-59.8,-3.26,-3.48,-33.3,-35.3,-15.5,-16.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2022',21.1,-4.1,-16.3,2.02,-1.48,-42.2,9.56,-4.3,0.38,-1.74,-82.2,1.79,-6.61,0.02,-1.43,-98.9,-0.17,-5.88,0.01,-1.28,-0.19,-9.8,-0.09,-4.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2021',25.2,6.02,31.3,3.5,1.62,86.6,13.9,4.11,2.12,1.52,256,8.4,5.3,1.44,1.34,1282,5.71,5.17,1.29,1.18,9.62,8.76,4.04,3.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2020',19.2,-1.37,-6.66,1.87,0.51,37.8,9.75,3.15,0.6,0.25,74.4,3.1,1.44,0.1,0.09,789,0.54,0.49,0.11,0.1,0.86,0.76,0.34,0.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2019',20.6,-2.74,-11.8,1.36,-0.48,-26.3,6.61,-1.3,0.34,-0.5,-59.5,1.66,-1.95,0.01,-0.69,-98.3,0.06,-2.96,0.01,-0.76,0.1,-6.52,0.04,-3.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2018',23.3,-1.49,-5.99,1.84,0.77,72.2,7.91,3.59,0.84,0.65,344,3.61,2.85,0.7,0.36,104,3.02,1.63,0.77,0.15,6.61,1.02,3.17,1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2017',24.8,5.46,28.2,1.07,1.84,240,4.32,8.28,0.19,1.57,114,0.76,7.92,0.34,1.89,122,1.39,9.36,0.62,3.73,5.59,42.4,2.09,16.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2016',19.3,3.03,18.6,-0.77,0.34,30.5,-3.96,2.79,-1.38,0.49,26.2,-7.16,4.35,-1.54,0.37,19.4,-7.97,3.75,-3.11,-0.86,-36.8,-4.46,-14.3,9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2015',16.3,-1.95,-10.7,-1.1,-1.46,-407,-6.76,-8.72,-1.88,-1.54,-453,-11.5,-9.64,-1.91,-1.55,-426,-11.7,-9.73,-2.25,-1.82,-32.3,-27.2,-23.3,-19.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2014',18.3,2.63,16.8,0.36,0.56,280,1.97,3.25,-0.34,0.61,64.3,-1.86,4.23,-0.36,0.94,72.2,-1.99,6.36,-0.43,1.11,-5.15,11.4,-4.11,10.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2013',15.6,7.01,81.3,-0.2,-0.57,-154,-1.28,-5.55,-0.95,-0.69,-266,-6.09,-3.07,-1.31,-1.08,-478,-8.35,-5.73,-1.54,-1.22,-16.5,-13.6,-14.2,-11.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2012',8.62,3.07,55.4,0.37,0.27,282,4.27,2.53,-0.26,0.1,26.9,-3.02,3.39,-0.23,0,1.34,-2.62,1.51,-0.32,0.03,-2.98,0.42,-2.72,0.58);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2011',5.55,-3.27,-37.1,0.1,-1.05,-91.6,1.74,-11.2,-0.36,-1.02,-153,-6.41,-14,-0.23,-0.5,-183,-4.13,-7.25,-0.35,-0.77,-3.41,-7.51,-3.3,-7.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2010',8.82,-3.33,-27.4,1.15,-0.04,-3.56,13,3.21,0.67,-0.05,-6.63,7.55,1.68,0.28,-0.57,-67.5,3.12,-3.85,0.42,-0.88,4.1,-9.59,3.92,-8.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2358','2009',12.2,-5.74,-32.1,1.19,0.45,60.1,9.77,5.62,0.71,0.54,311,5.87,4.9,0.85,0.65,334,6.97,5.88,1.3,1,13.7,10.3,12.1,9.77);
