insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','24Q2',5.51,-0.68,-11,1.35,-0.01,-0.59,24.6,2.57,-0.5,-0.05,-10.3,-9.04,-1.75,-0.18,-0.19,-1189,-3.22,-3.48,-0.18,-0.2,-9.85,-10.7,-1.66,-1.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2023',11.5,3.7,47.8,2.39,1.92,409,20.9,14.8,-1.25,0.25,16.4,-10.9,8.37,0.04,1.88,102,0.32,24.1,0.04,2.02,0.98,72.5,0.16,8.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2022',7.75,-2.27,-22.6,0.47,0.45,1887,6.07,5.83,-1.5,0.14,8.29,-19.3,-3.02,-1.85,-0.31,-20.3,-23.8,-8.5,-1.98,-1.33,-71.5,23,-8.76,-1.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2021',10,-1.87,-15.7,0.02,-0.73,-96.8,0.24,-6.06,-1.63,-0.23,-16.8,-16.3,-4.53,-1.53,-0.25,-19.7,-15.3,-4.53,-0.65,-0.1,-94.5,-36.2,-7.52,-2.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2020',11.9,-7.5,-38.7,0.75,-0.03,-3.54,6.3,2.3,-1.4,0.49,26,-11.7,-2.01,-1.28,3.43,72.8,-10.8,13.5,-0.55,1.59,-58.3,35.8,-5.4,10.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2019',19.4,-11.5,-37.2,0.78,-1.11,-58.8,4.01,-2.09,-1.89,-0.67,-55.3,-9.74,-5.8,-4.71,-2.74,-139,-24.3,-17.9,-2.14,-1.2,-94.1,-65.5,-15.7,-10);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2018',30.9,5.48,21.6,1.88,1.63,658,6.1,5.12,-1.22,2.84,70,-3.94,12,-1.97,3.65,65,-6.37,15.8,-0.94,2.15,-28.6,29.8,-5.64,8.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2017',25.4,-16.5,-39.4,0.25,-5.29,-95.5,0.98,-12.2,-4.05,-4.53,-953,-16,-17.1,-5.62,-4.38,-353,-22.1,-19.4,-3.09,-2.41,-58.4,-50.4,-14.4,-12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2016',41.9,0.94,2.29,5.54,0.48,9.51,13.2,0.87,0.48,1.2,166,1.13,2.89,-1.24,0.28,18.3,-2.7,1.03,-0.68,0.15,-7.95,1.06,-2.44,0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2015',41,1.61,4.08,5.06,0.91,22,12.3,1.81,-0.72,0.9,55.5,-1.76,2.36,-1.52,0.85,35.9,-3.73,2.09,-0.83,0.47,-9.02,2.86,-2.83,1.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1512','2014',39.4,2.19,5.89,4.15,-0.93,-18.3,10.5,-3.12,-1.62,-1.21,-294,-4.12,-3.01,-2.37,-1.14,-92.2,-5.82,-2.71,-1.3,-0.62,-11.9,-6.22,-3.91,-1.89);
