insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','24Q2',183,26.6,17,92.6,19,25.8,50.5,3.52,0.76,5.77,115,0.41,3.61,1.54,4.68,149,0.84,2.84,0.51,1.54,3.18,10,0.83,2.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2023',381,44.6,13.3,184,38.2,26.2,48.4,4.95,12.4,14.6,678,3.26,3.9,7.1,2.81,65.5,1.86,1.19,2.34,0.92,7.42,5.03,1.88,1.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2022',336,28.3,9.21,146,7,5.03,43.5,-1.73,-2.15,-3.69,-239,-0.64,-1.14,4.29,3.91,1025,0.67,0.35,1.42,1.29,2.38,1.37,0.61,0.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2021',308,24.1,8.5,139,5.09,3.8,45.2,-2.05,1.54,-7.76,-83.4,0.5,-2.78,0.38,-6.41,-94.4,0.32,-2.31,0.13,-2.11,1.01,-6.69,0.3,-2.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2020',284,29.9,11.8,134,8.51,6.78,47.2,-2.22,9.3,-5.63,-37.7,3.28,-2.61,6.79,-6.13,-47.4,2.63,-2.47,2.24,-2.02,7.7,-7.03,2.57,-2.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2019',254,36.2,16.6,125,25.1,25,49.5,3.32,14.9,14.4,2791,5.88,5.65,12.9,9.03,232,5.1,3.31,4.26,2.97,14.7,10,5.11,3.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2018',218,22.6,11.6,100,8.33,9.05,46.1,-1.08,0.52,-0.85,-62.2,0.24,-0.46,3.9,2.6,199,1.79,1.12,1.29,0.86,4.7,3.15,1.7,1.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2017',195,-6.7,-3.32,92,-1.31,-1.4,47.2,0.92,1.37,-4.8,-77.8,0.7,-2.36,1.3,-5.86,-81.8,0.67,-2.88,0.43,-1.93,1.56,-6.62,0.58,-2.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2016',202,31.9,18.8,93.4,15.1,19.4,46.3,0.22,6.17,-0.43,-6.58,3.06,-0.83,7.16,1.53,27.1,3.55,0.23,2.36,0.51,8.18,1.92,3.17,0.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2015',170,4.24,2.56,78.2,1.76,2.31,46.1,-0.11,6.6,-6.82,-50.8,3.89,-4.22,5.64,-20.7,-78.6,3.32,-12.6,1.85,-6.88,6.26,-27.1,2.65,-12.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1736','2014',166,14.8,9.82,76.4,10.5,15.9,46.2,2.41,13.4,6.31,88.7,8.11,3.39,26.4,17.8,208,15.9,10.3,8.73,4.48,33.4,19.8,15.1,9.21);
