insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','24Q2',33.1,6,22.2,-2.66,-0.71,-36.2,-8.04,-0.83,-3.55,-0.72,-25.6,-10.7,-0.29,-5.18,-0.69,-15.3,-15.7,0.93,-0.98,-0.13,-18.6,-4.94,-8.41,-0.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2023',50.2,-18.1,-26.6,-4.68,-4.01,-603,-9.33,-8.35,-6.4,-3.63,-131,-12.8,-8.7,-9.81,-2.87,-41.3,-19.6,-9.39,-1.85,-0.54,-15.6,-5.81,-8.19,-2.61);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2022',68.3,-1.9,-2.71,-0.66,-6.32,-112,-0.97,-9.03,-2.78,-6.58,-173,-4.07,-9.49,-6.95,-7.08,-5379,-10.2,-10.4,-1.31,-1.33,-9.75,-9.93,-5.58,-5.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2021',70.2,14.3,25.6,5.65,7.29,446,8.05,11,3.8,7.34,208,5.42,11.7,0.13,4.83,103,0.19,8.86,0.02,0.91,0.18,7.21,0.1,2.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2020',55.9,-9.63,-14.7,-1.63,0.72,30.5,-2.92,0.67,-3.54,1.24,26,-6.33,0.96,-4.7,1.72,26.8,-8.67,1.29,-0.89,0.32,-7.03,3.61,-2.66,0.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2019',65.5,-21.9,-25,-2.35,-6.27,-160,-3.59,-8.07,-4.78,-6.18,-441,-7.29,-8.89,-6.42,-6.57,-4329,-9.96,-10.1,-1.21,-1.24,-10.6,-10.9,-2.98,-3.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2018',87.4,7.49,9.37,3.91,1.24,46.5,4.48,1.13,1.4,1.27,984,1.6,1.44,0.15,1.99,108,0.12,2.44,0.03,0.38,0.24,5.81,0.06,1.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2017',79.9,7.2,9.91,2.67,0.69,34.8,3.34,0.62,0.13,0.5,135,0.16,0.67,-1.84,0.72,28.1,-2.31,1.22,-0.35,0.06,-5.57,1.66,-1.1,0.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2016',72.7,-2.32,-3.09,1.98,2.43,546,2.73,3.32,-0.37,2.33,86.2,-0.51,3.08,-2.56,2.41,48.5,-3.53,3.09,-0.41,0.38,-7.23,5.37,-1.73,1.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2015',75,2.72,3.77,-0.44,1.52,77.3,-0.59,2.12,-2.7,1.83,40.4,-3.6,2.67,-4.97,1.26,20.2,-6.62,1.99,-0.79,0.2,-12.6,1.2,-3.56,1.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2007','2014',72.3,11.9,19.8,-1.96,2.04,51,-2.71,3.91,-4.53,1.83,28.7,-6.27,4.26,-6.22,2.18,25.9,-8.61,5.31,-0.99,0.34,-13.8,2.25,-4.61,1.65);
