insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','24Q2',3.17,-0.35,-9.84,1.18,-0.08,-6.69,37.3,1.26,0.26,-0.1,-27.9,8.33,-2.09,0.33,0,0.03,10.3,1.01,0.97,0,10.3,-0.82,5.4,0.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2023',8.08,-1.41,-14.9,2.94,-0.35,-10.7,36.4,1.69,1.01,-0.46,-31.5,12.5,-3.02,0.85,-0.37,-30.3,10.5,-2.33,2.52,-1.1,13.7,-7.73,6.65,-3.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2022',9.49,-0.43,-4.34,3.29,0.48,16.9,34.7,6.3,1.47,0.28,23.5,15.5,3.5,1.22,0.36,42.5,12.8,4.22,3.62,1.08,21.5,4.61,9.66,1.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2021',9.92,4.84,95.3,2.82,1.09,62.7,28.4,-5.68,1.19,0.64,116,12,1.15,0.85,0.38,80.3,8.61,-0.71,2.54,1.13,16.9,6.87,8.38,2.48);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2020',5.08,0.98,23.9,1.73,0.34,24.7,34.1,0.21,0.55,0.25,81.8,10.9,3.46,0.47,0.2,71.2,9.32,2.57,1.41,0.59,9.99,3.91,5.9,2.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2019',4.1,-0.79,-16.1,1.39,-0.03,-2.1,33.9,4.85,0.3,-0.01,-3.29,7.41,0.98,0.28,-0.07,-20.9,6.75,-0.41,0.82,-0.22,6.09,-1.98,3.78,-1.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2018',4.89,0.45,10.2,1.42,0.11,8.58,29,-0.44,0.31,0.12,61.6,6.42,2.04,0.35,0.08,28.9,7.16,1.04,1.04,0.23,8.07,1.79,5.21,1.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2017',4.43,-0.03,-0.77,1.31,0.04,3.46,29.5,1.2,0.19,0.03,21.6,4.38,0.81,0.27,0.49,225,6.12,11,0.81,1.45,6.28,11.1,3.97,7.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2016',4.47,-0.76,-14.5,1.26,-0.19,-13.2,28.3,0.42,0.16,0.09,128,3.58,2.23,-0.22,-0.35,-260,-4.84,-7.43,-0.64,-1.04,-4.84,-7.74,-3.09,-4.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2015',5.23,-0.88,-14.4,1.46,-0.29,-16.5,27.8,-0.69,0.07,-0.06,-46.9,1.34,-0.82,0.13,-0.08,-36.4,2.58,-0.89,0.4,-0.23,2.9,-1.61,1.88,-1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9960','2014',6.11,-1.21,-16.5,1.74,-0.45,-20.6,28.5,-1.44,0.13,-0.19,-59,2.16,-2.24,0.21,-0.18,-45.3,3.48,-1.83,0.63,-0.53,4.51,-3.97,2.88,-2.3);
