insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','24Q2',22,-9.27,-29.6,8.22,-4.59,-35.8,37.3,-3.61,4.26,-4.9,-53.5,19.3,-9.93,6.34,-3.08,-32.7,26.9,-2.79,3.19,-1.97,11.5,-8.26,7.71,-3.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2023',55.6,-1.37,-2.41,22.7,-0.33,-1.45,40.8,0.4,15.5,5.22,50.7,28,9.85,16,2.91,22.3,28.3,7.44,8.77,0.88,16.4,2.67,9.63,2.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2022',56.9,2.99,5.54,23,3.75,19.5,40.4,4.72,10.3,1.96,23.5,18.1,2.63,13.1,0.23,1.75,20.8,-3.1,7.89,0.08,13.7,-2.41,7.28,-2.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2021',53.9,23.2,75.5,19.3,9.86,105,35.7,5.12,8.35,3.36,67.4,15.5,-0.75,12.9,3.39,35.9,23.9,-6.75,7.81,2.04,16.1,3.58,9.53,0.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2020',30.7,-13.3,-30.2,9.4,-7.25,-43.5,30.6,-7.24,4.99,-5.69,-53.3,16.2,-8.04,9.46,-0.38,-3.84,30.7,8.44,5.77,-0.23,12.5,-0.9,8.82,-0.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2019',44,-3.23,-6.84,16.6,-0.76,-4.36,37.8,0.98,10.7,-1.4,-11.6,24.3,-1.3,9.84,-3.02,-23.5,22.2,-5.22,6,-1.83,13.5,-5.54,9.38,-2.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2018',47.2,2.38,5.3,17.4,2.56,17.2,36.9,3.75,12.1,1.83,17.9,25.6,2.73,12.9,13.2,3574,27.4,39,7.83,8.06,19,26.5,11.8,16.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2017',44.8,1.1,2.52,14.8,-2.3,-13.4,33.1,-6.1,10.2,-1.87,-15.4,22.9,-4.85,-0.37,-10.6,-104,-11.5,-34,-0.23,-6.81,-7.5,-20.8,-4.77,-14.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2016',43.7,-4.75,-9.79,17.1,-1.76,-9.31,39.2,0.21,12.1,-0.68,-5.34,27.7,1.3,10.2,-1.85,-15.3,22.5,-1.93,6.58,-1.21,13.3,-3.42,9.63,-3.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2015',48.5,11.8,32,18.9,7.11,60.3,39,6.88,12.8,5.28,70.2,26.4,5.92,12.1,4.61,61.7,24.4,5.16,7.79,3.27,16.7,5.41,12.9,4.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8942','2014',36.7,3.69,11.2,11.8,0.84,7.65,32.1,-1.05,7.53,0.54,7.67,20.5,-0.66,7.47,0.84,12.7,19.2,0.4,4.52,0.16,11.3,-1.98,8.43,-0.08);
