insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','24Q2',0.6,-1.5,-71.5,-0.17,-0.76,-130,-29,-56.9,-0.7,-0.67,-2018,-117,-115,-0.33,-0.38,-823,-55.3,-57.5,-0.73,-0.84,-7.68,-8.99,-6.89,-7.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2023',3.51,0.25,7.57,0.95,-0.57,-37.8,27,-19.7,-0.15,-0.58,-136,-4.36,-17.4,0.01,-0.68,-98.6,0.28,-20.9,0.02,-2.06,0.14,-15,0.11,-8.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2022',3.26,-0.17,-4.85,1.52,0.33,27.8,46.6,11.9,0.43,0.5,667,13.1,15.3,0.69,0.8,733,21.2,26.1,2.08,2.41,15.2,19.5,8.89,11.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2021',3.43,0.55,19.2,1.19,0.47,64.7,34.7,9.6,-0.08,1.26,94.4,-2.2,44.2,-0.11,0.43,79.8,-4.9,27.9,-0.33,1.3,-4.35,17.5,-2.25,9.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2020',2.87,-1.99,-40.9,0.72,-0.96,-57.2,25.1,-9.53,-1.33,-0.27,-25.8,-46.4,-24.6,-0.54,-0.15,-39.8,-32.8,-19.7,-1.63,-0.47,-21.9,-9.3,-12.2,-4.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2019',4.87,-0.08,-1.67,1.69,-0.03,-1.95,34.7,-0.1,-1.06,-0.04,-3.97,-21.8,-1.18,-0.39,-0.13,-51.4,-13.1,-2.08,-1.16,-0.39,-12.6,-2.1,-7.85,-1.29);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2018',4.95,-2.19,-30.7,1.72,-0.02,-0.89,34.8,10.5,-1.02,-0.73,-249,-20.6,-16.5,-0.26,-0.17,-200,-11,-6.42,-0.77,-0.51,-10.5,-4.08,-6.55,-2.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2017',7.14,-0.09,-1.24,1.74,-0.72,-29.3,24.3,-9.65,-0.29,-0.84,-154,-4.09,-11.6,-0.08,-0.72,-113,-4.63,-12.2,-0.26,-2.35,-6.39,-17.5,-4.17,-12.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2016',7.23,-0.23,-3.07,2.46,0.32,15.2,34,5.39,0.55,-0.08,-13.3,7.54,-0.89,0.63,0.03,4.6,7.59,-0.5,2.09,0.08,11.1,-3.37,8.1,-2.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2015',7.46,0.43,6.14,2.13,0.78,58.1,28.6,9.39,0.63,0.41,190,8.44,5.35,0.6,0.32,116,8.09,4.11,2.01,0.99,14.5,6.97,10.2,5.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4980','2014',7.03,0.67,10.5,1.35,-0.05,-3.79,19.2,-2.85,0.22,-0.06,-22.4,3.08,-1.31,0.28,-0.01,-4.66,3.98,-0.63,1.02,-0.1,7.51,-0.57,5.08,-0.22);
