insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','24Q1',4.53,2.89,176,4.16,2.73,190,91.8,4.29,2.08,2.64,473,45.9,79.9,2.19,2.6,638,48.4,73.2,0.72,0.85,13.6,17,4.97,6.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2023',10.2,1.52,17.5,9.17,1.21,15.2,89.8,-1.79,0.26,0.37,334,2.52,3.78,1.06,0.54,102,10.4,4.35,0.35,0.18,2.06,1.02,0.78,0.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2022',8.69,-4.36,-33.4,7.96,-4.05,-33.7,91.6,-0.42,-0.11,-3.22,-104,-1.26,-25.1,0.52,-2.68,-83.6,6.04,-18.6,0.17,-0.88,1.03,-5.04,0.37,-1.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2021',13.1,5.75,78.7,12,5.27,78.3,92,-0.21,3.11,2.37,321,23.8,13.7,3.21,2.15,204,24.6,10.1,1.05,0.71,6.08,3.88,2.13,1.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2020',7.3,2.19,42.8,6.74,1.99,41.8,92.2,-0.63,0.74,0.79,1466,10.1,11.2,1.06,0.8,305,14.5,9.36,0.34,0.25,2.2,1.65,1.01,0.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2019',5.12,-1.02,-16.6,4.75,-0.83,-14.9,92.9,1.89,-0.05,-0.99,-106,-1.06,-16.3,0.26,-1.71,-86.7,5.1,-26.9,0.09,-0.55,0.54,-3.54,0.37,-2.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2018',6.14,-0.16,-2.53,5.58,-0.28,-4.85,91,-2.22,0.93,-0.53,-36.4,15.2,-8.11,1.97,0.29,17.2,32,5.4,0.64,0.09,4.08,0.36,2.46,0.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2017',6.29,2.74,77.3,5.87,2.67,83.4,93.2,3.11,1.47,2.55,235,23.3,53.9,1.68,2.24,396,26.6,42.6,0.55,0.73,3.72,5.03,2.09,2.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2016',3.55,-0.53,-13,3.2,-0.37,-10.3,90.1,2.72,-1.09,0.02,2.21,-30.6,-3.38,-0.57,-0.03,-5.73,-15.9,-2.82,-0.18,-0.01,-1.3,-0.09,-0.73,-0.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2015',4.08,-1.91,-31.9,3.57,-1.85,-34.2,87.4,-3.12,-1.11,-1.59,-330,-27.2,-35.3,-0.54,-1.59,-151,-13.1,-30.7,-0.17,-0.51,-1.22,-3.54,-0.6,-1.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6021','2014',5.99,-1.37,-18.6,5.42,-1.46,-21.2,90.5,-3,0.48,-1.82,-79,8.06,-23.2,1.05,-1.79,-63,17.6,-21.1,0.34,-0.59,2.32,-4.03,1.08,-1.99);
