insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','24Q2',53.1,-7.08,-11.8,4.23,2.48,142,7.97,5.07,1,1.44,327,1.88,2.61,0.45,1.77,134,0.85,3.03,0.27,1.07,2.38,9.04,1.01,3.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2023',118,-22,-15.7,4.12,-7.59,-64.8,3.48,-4.86,-0.54,-4.27,-114,-0.46,-3.11,-1.49,-3.41,-178,-1.26,-2.62,-0.9,-2.06,-3.77,-8.34,-1.69,-3.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2022',140,-2.18,-1.53,11.7,-7.62,-39.4,8.34,-5.22,3.73,-5.85,-61.1,2.66,-4.06,1.92,-5.49,-74.1,1.36,-3.83,1.16,-3.57,4.57,-15.1,1.91,-5.67);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2021',143,68.3,91.8,19.3,14.3,282,13.6,6.74,9.59,8.47,762,6.72,5.23,7.41,7.01,1745,5.19,4.65,4.73,4.47,19.7,18.5,7.57,7.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2020',74.3,-12.9,-14.8,5.07,-0.07,-1.28,6.81,0.94,1.11,0.14,13.9,1.5,0.38,0.4,0.32,408,0.54,0.45,0.26,0.21,1.22,1,0.49,0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2019',87.3,1.74,2.04,5.13,0.12,2.4,5.88,0.02,0.98,0.46,90.1,1.12,0.52,0.08,-8.63,-99.1,0.09,-10.1,0.05,-5.85,0.22,-26.1,0.1,-10.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2018',85.5,0.1,0.12,5.01,-1.8,-26.4,5.86,-2.11,0.51,-2.22,-81.2,0.6,-2.6,8.71,6.61,316,10.2,7.73,5.9,4.35,26.3,18.8,10.9,7.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2017',85.4,10.8,14.4,6.81,-1.08,-13.7,7.97,-2.59,2.74,-1.05,-27.7,3.21,-1.87,2.09,-0.71,-25.4,2.45,-1.31,1.55,-0.81,7.55,-3.81,3.08,-2.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2016',74.7,-1.84,-2.4,7.89,2.79,54.8,10.6,3.91,3.79,2.19,136,5.08,2.98,2.81,2.2,360,3.76,2.97,2.36,1.81,11.4,8.7,5.24,4.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2015',76.5,-6.53,-7.87,5.09,-1.18,-18.8,6.66,-0.9,1.6,-1.02,-38.9,2.09,-1.07,0.61,-0.71,-53.9,0.8,-0.8,0.55,-0.68,2.66,-3.06,1.18,-1.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2069','2014',83,null,null,6.28,null,null,7.56,null,2.62,null,null,3.16,null,1.32,null,null,1.6,null,1.23,null,5.72,null,2.38,null);
