insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','24Q2',0.03,-0.01,-31.4,0.02,-0.01,-37.1,77.7,-7,-0.22,0.06,20.5,-763,-105,-0.19,0.07,26.3,-658,-45.8,-0.09,0.03,-1.29,0.57,-0.67,0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2023',4.78,4.72,6798,0.97,0.92,1771,20.4,-54.8,0.34,0.86,164,7.03,765,0.29,0.43,308,6.04,207,0.14,0.21,1.03,1.53,0.58,0.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2022',0.07,0.01,22.8,0.05,0.01,36.9,75.1,7.75,-0.53,-0.08,-18.3,-758,28.7,-0.14,-0.07,-88.9,-201,-70.3,-0.07,-0.03,-0.5,-0.24,-0.31,-0.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2021',0.06,-6.61,-99.2,0.04,-2.57,-98.5,67.4,28.3,-0.44,-2.55,-121,-787,-818,-0.07,-2.12,-104,-130,-161,-0.04,-1.14,-0.26,-7.88,-0.19,-6.33);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2020',6.67,-6.35,-48.8,2.61,-1.68,-39.2,39.1,6.2,2.11,-1.68,-44.4,31.6,2.51,2.05,-1.35,-39.8,30.7,4.61,1.1,-0.9,7.62,-6.48,6.14,-3.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2019',13,8.46,186,4.28,3.87,937,32.9,23.8,3.79,3.97,2241,29.1,33,3.4,3.18,1495,26.1,21.4,2,1.87,14.1,13.1,10.1,9.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2018',4.56,3.67,414,0.41,-0.47,-53.4,9.06,-90.9,-0.18,-0.55,-148,-3.88,-45.5,0.21,-1.02,-82.7,4.67,-134,0.13,-0.6,0.96,-4.55,0.68,-4.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2017',0.89,0.81,1017,0.89,0.84,1758,100,39.9,0.37,0.69,215,41.7,447,1.23,0.5,69.6,139,-775,0.73,0.3,5.51,2.16,4.7,1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2016',0.08,-0.87,-91.6,0.05,-0.68,-93.5,60.1,-17.2,-0.32,-0.7,-186,-406,-446,0.73,0.79,1221,914,920,0.43,0.47,3.35,3.65,3.14,3.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2015',0.94,-14.9,-94,0.73,-7.89,-91.5,77.3,22.8,0.38,-7.1,-95,39.9,-7.37,-0.06,-7.18,-101,-6.85,-51.8,-0.04,-4.87,-0.3,-38.6,-0.28,-29.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5514','2014',15.8,6.72,73.7,8.62,3.48,67.7,54.5,-1.94,7.48,2.99,66.6,47.2,-2.01,7.12,2.71,61.6,45,-3.36,4.83,1.84,38.3,4.83,29.5,10.3);
