insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','24Q2',4.1,-1.65,-28.7,0.73,-0.34,-32,17.7,-0.88,0.14,-0.18,-56.8,3.32,-2.17,1.06,0.07,7.04,26,8.66,4.39,-7.19,20.4,4.44,14.4,2.78);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2023',10.5,-3.99,-27.5,1.82,-0.97,-34.8,17.3,-1.92,0.47,-0.69,-59.4,4.51,-3.55,1.08,1.77,254,10.2,15,6.5,6.98,8.66,13.8,6.3,10.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2022',14.5,-2.47,-14.5,2.79,-0.57,-16.9,19.2,-0.54,1.17,-0.26,-18.2,8.06,-0.36,-0.7,-2.38,-142,-4.81,-14.7,-0.48,-1.63,-5.12,-16.8,-4.19,-15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2021',17,-1.8,-9.6,3.35,-1.86,-35.6,19.8,-7.99,1.43,-1.61,-52.9,8.42,-7.75,1.68,-1.45,-46.2,9.91,-6.75,1.15,-1,11.7,-7.2,10.8,-12.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2020',18.8,2.36,14.4,5.21,1.03,24.8,27.7,2.31,3.03,23.9,115,16.2,143,3.13,24.4,115,16.7,146,2.15,16.77,18.9,315,23.7,117);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2019',16.4,-3.02,-15.5,4.17,-0.93,-18.3,25.4,-0.85,-20.9,-23.8,-817,-127,-142,-21.3,-22.9,-1448,-130,-138,-14.62,-15.7,-296,-352,-93.1,-97.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2018',19.4,-32.5,-62.6,5.11,-1.04,-17,26.3,14.4,2.91,30,111,15,67.2,1.58,31.8,105,8.13,66.4,1.08,21.87,56.4,217,4.64,66.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2017',52,-104,-66.6,6.15,-0.93,-13.1,11.8,7.28,-27.1,-30.4,-924,-52.2,-54.3,-30.3,-33.1,-1153,-58.2,-60.1,-20.79,-22.84,-160,-169,-62.3,-67.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2016',156,-2.84,-1.79,7.08,1.74,32.6,4.55,1.18,3.29,0.87,36.1,2.12,0.59,2.87,0.53,22.8,1.85,0.37,2.05,0.34,8.3,1.1,4.79,0.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2015',158,33.8,27.1,5.34,0.61,12.9,3.37,-0.42,2.42,0.71,41.8,1.53,0.16,2.34,0.34,16.8,1.48,-0.13,1.71,0.17,7.19,0.58,4.28,0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8287','2014',125,-33.8,-21.3,4.73,-0.22,-4.41,3.79,0.67,1.71,-0.51,-22.9,1.37,-0.03,2,-0.69,-25.6,1.61,-0.09,1.54,-0.53,6.62,-3.02,3.89,-1.04);
