insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','24Q2',1.5,0.91,155,0.04,0.01,60.9,2.56,-1.5,-0.67,-0.46,-215,-44.8,-8.54,-0.36,-0.22,-156,-34.5,-8.04,-0.64,-0.41,-14.5,-10.4,-7.36,-3.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2023',1.18,-0.92,-43.9,-0.15,-0.37,-169,-13,-23.5,-0.69,-0.37,-117,-58.5,-43.4,-0.58,-0.35,-157,-60,-49.3,-1,-0.63,-9.55,-6.76,-6.4,-3.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2022',2.1,-1.66,-44.2,0.22,-0.73,-76.7,10.5,-14.7,-0.32,-0.57,-225,-15.1,-21.9,-0.22,-0.18,-450,-10.7,-15.5,-0.37,-0.3,-2.78,-5.01,-2.45,-4.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2021',3.76,-0.03,-0.78,0.95,0.2,26.1,25.2,5.37,0.25,0.2,373,6.76,5.34,-0.04,-0.08,-194,4.86,-0.98,-0.07,-0.14,2.22,-0.46,1.89,-0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2020',3.79,-0.52,-12,0.75,-0.33,-30.4,19.8,-5.21,0.05,-0.32,-85.5,1.42,-7.19,0.04,0.87,105,5.84,18.8,0.07,0.93,2.68,9.36,2.28,7.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2019',4.31,-0.13,-2.88,1.08,-0.25,-18.7,25,-4.87,0.37,-0.33,-46.9,8.61,-7.14,-0.82,-0.91,-1016,-13,-25,-0.86,-0.95,-6.68,-13.1,-5.57,-10.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2018',4.44,-0.72,-13.9,1.33,-0.56,-29.7,29.9,-6.72,0.7,0.23,49.7,15.7,6.69,0.09,0.86,112,12,15.6,0.09,0.9,6.38,8.49,5.19,6.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2017',5.16,0.68,15.2,1.89,0.44,30.1,36.6,4.2,0.47,-0.08,-15,9.06,-3.22,-0.77,-0.7,-967,-3.55,-11.6,-0.81,-0.73,-2.11,-6.64,-1.65,-4.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2016',4.48,-1.62,-26.5,1.45,-0.95,-39.4,32.4,-6.9,0.55,-1.03,-65.1,12.3,-13.6,-0.07,-0.13,-232,8.04,-6.34,-0.08,-0.15,4.53,-8.52,3.19,-5.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2015',6.1,2.58,73.4,2.4,0.96,66.4,39.3,-1.66,1.57,0.83,112,25.8,4.69,0.05,0.03,97.7,14.4,-0.21,0.07,0.03,13,1.06,8.46,0.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2438','2014',3.52,3.19,974,1.44,1.49,3140,41,55.5,0.74,1.13,294,21.1,138,0.03,0.16,121,14.6,55.1,0.04,0.31,12,18.4,8.17,13);
