insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','24Q2',19.7,-0.79,-3.84,12.3,-0.53,-4.15,62.1,-0.2,5.78,0.19,3.34,29.3,2.04,7.7,1.86,31.8,39.1,9.16,1.83,0.44,6.33,0.82,2.18,0.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2023',41,1.33,3.36,25.9,-0.27,-1.02,63.2,-2.79,10.8,-1.86,-14.7,26.4,-5.59,12.1,-1.2,-9.01,30.5,-6.26,2.88,-0.28,5.55,-1.09,1.83,-0.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2022',39.6,4.14,11.7,26.1,2.76,11.8,65.9,0.09,12.7,1.06,9.16,32,-0.73,13.3,-0.84,-5.96,36.8,-4.43,3.16,-0.2,6.64,-0.17,2.18,-0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2021',35.5,-1.13,-3.08,23.4,-1.34,-5.43,65.9,-1.64,11.6,-2.76,-19.2,32.7,-6.54,14.1,1.68,13.5,41.2,3.52,3.36,0.4,6.81,0,2.23,0.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2020',36.6,-8.96,-19.6,24.7,-7.43,-23.1,67.5,-3.04,14.4,-6.72,-31.9,39.2,-7.03,12.4,-10.6,-46,37.7,-14.3,2.96,-2.52,6.81,-6.21,2.14,-1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2019',45.6,-3.98,-8.02,32.2,-1.27,-3.81,70.5,3.09,21.1,1.56,8,46.3,6.86,23,1.22,5.61,52,5.76,5.48,0.29,13,-2.06,3.69,-0.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2018',49.6,-1.47,-2.89,33.4,-4.67,-12.3,67.4,-7.21,19.5,-2.72,-12.2,39.4,-4.2,21.8,3.37,18.3,46.2,3.48,5.19,0.75,15.1,-2.39,3.92,-0.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2017',51,16.4,47.4,38.1,17.1,81.4,74.7,14,22.3,12.9,139,43.6,16.7,18.4,8.66,88.6,42.7,11.9,4.44,1.99,17.5,7,4.17,2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2016',34.6,-0.66,-1.86,21,-1.93,-8.4,60.7,-4.33,9.32,-3.15,-25.2,26.9,-8.42,9.78,-1.12,-10.2,30.8,-2.87,2.45,-0.28,10.5,-1.88,2.17,-0.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2015',35.3,-19.2,-35.3,22.9,-14.3,-38.3,65,-3.23,12.5,-9.22,-42.5,35.3,-4.46,10.9,-11,-50.3,33.7,-8.49,2.73,-2.76,12.4,-11.5,2.67,-3.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5530','2014',54.5,13,31.3,37.2,7.42,24.9,68.2,-3.48,21.7,1.18,5.78,39.8,-9.6,21.9,1.77,8.77,42.2,-8.59,5.49,0.44,23.9,0.17,5.7,0.25);
