insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','24Q2',40.3,-1.87,-4.44,7.12,-0.8,-10.1,17.7,-1.12,3.32,-0.49,-12.9,8.25,-0.8,3.95,0.45,12.9,9.76,1.47,2.62,0.21,13.9,1.19,8.55,0.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2023',77.1,-26,-25.2,13.8,-3.81,-21.6,17.9,0.82,5.97,-3.56,-37.4,7.75,-1.51,5.78,-3.41,-37.1,7.49,-1.42,3.93,-2.61,10.3,-7.05,6.98,-3.91);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2022',103,22.4,27.8,17.6,7.75,78.3,17.1,4.85,9.54,7.66,408,9.26,6.92,9.19,4.04,78.4,8.9,2.83,6.54,2.96,17.4,7.51,10.9,4.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2021',80.6,-4.38,-5.16,9.89,-1.83,-15.6,12.3,-1.52,1.88,-1.93,-50.6,2.33,-2.14,5.15,1.71,49.6,6.08,2.38,3.58,1.3,9.87,3.61,6.2,2.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2020',85,-21,-19.8,11.7,-2.67,-18.6,13.8,0.21,3.8,-2.15,-36.1,4.48,-1.15,3.44,-1.43,-29.4,3.7,-1.01,2.28,-1.82,6.26,-4.58,4.16,-2.66);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2019',106,4.4,4.33,14.4,0.86,6.38,13.6,0.26,5.96,2.46,70.4,5.62,2.18,4.88,-1.31,-21.1,4.71,-1.51,4.1,-1.64,10.8,-7.31,6.83,-2.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2018',102,16.4,19.3,13.5,1.16,9.34,13.3,-1.21,3.49,-0.08,-2.25,3.44,-0.76,6.18,7.37,623,6.22,7.51,5.74,6.83,18.2,21.6,9.26,11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2017',85.1,-0.86,-1,12.4,-1.48,-10.7,14.5,-1.58,3.57,-1.42,-28.4,4.2,-1.61,-1.18,-5.66,-126,-1.29,-6.48,-1.09,-5.28,-3.45,-16.5,-1.71,-8.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2016',86,-3.22,-3.61,13.9,-0.19,-1.38,16.1,0.36,4.99,0.16,3.36,5.81,0.39,4.47,0.16,3.72,5.19,0.36,4.19,0.1,13.1,-0.32,7.27,0.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2015',89.2,-0.88,-0.97,14,0.37,2.69,15.7,0.56,4.83,-0.07,-1.33,5.42,-0.02,4.31,0.49,12.9,4.82,0.58,4.09,0.09,13.4,-0.97,7.25,0.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8916','2014',90.1,-0.85,-0.94,13.7,1.36,11.1,15.2,1.64,4.9,0.52,11.8,5.44,0.62,3.82,0.19,5.3,4.24,0.25,4,-0.05,14.4,-3.39,7.06,-0.4);
