insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','24Q2',17.2,0.9,5.54,3.1,-0.16,-4.9,18.1,-1.98,0.68,-0.25,-27.1,3.93,-1.76,0.69,-0.18,-20.7,3.99,-1.33,0.77,-0.2,9.81,-2.76,4.61,0.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2023',34.6,-31.9,-48,6.49,-2.05,-24,18.8,5.93,1.85,-1.16,-38.6,5.35,0.81,1.88,-0.97,-34,5.45,1.16,2.12,-1.12,13.1,-7.65,4.91,-2.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2022',66.5,30.5,85.1,8.54,2.43,39.7,12.9,-4.18,3.01,1.21,67.5,4.54,-0.47,2.85,0.99,53,4.29,-0.9,3.24,1.1,20.8,5.92,7.83,0.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2021',35.9,0.42,1.18,6.12,0.41,7.16,17,0.95,1.8,0.37,25.6,5.01,0.98,1.86,0.14,7.85,5.19,0.32,2.14,0.13,14.8,0.18,7.2,0.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2020',35.5,1,2.89,5.71,-0.03,-0.52,16.1,-0.55,1.43,-0.05,-3.44,4.03,-0.26,1.73,0.06,3.73,4.87,0.04,2.01,0.07,14.7,-0.01,6.97,-0.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2019',34.5,2.15,6.66,5.74,0.19,3.48,16.6,-0.51,1.48,0.02,1.09,4.3,-0.24,1.67,0.31,22.5,4.83,0.68,1.94,0.36,14.7,2.71,7.48,1.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2018',32.3,4.09,14.5,5.54,0.38,7.35,17.1,-1.14,1.47,0.25,20.4,4.54,0.22,1.36,0.16,13.1,4.16,-0.21,1.58,0.18,12,0.9,6.28,0.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2017',28.2,2.6,10.2,5.16,0.18,3.58,18.3,-1.16,1.22,0.08,6.66,4.31,-0.14,1.2,0.07,5.74,4.37,-0.26,1.4,0.08,11.1,0.25,6.15,0.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2016',25.6,1.39,5.73,4.99,-0.08,-1.51,19.4,-1.43,1.14,0,0.37,4.45,-0.24,1.14,-0.1,-7.85,4.62,-0.66,1.32,-0.07,10.8,-0.92,6.09,-0.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2015',24.3,0.7,2.96,5.06,0.26,5.44,20.9,0.49,1.14,0.04,4.07,4.69,0.05,1.23,0.18,16.8,5.29,0.8,1.39,0.21,11.7,1.9,6.83,0.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5410','2014',23.6,4.18,21.6,4.8,0.39,8.85,20.4,-2.39,1.09,0.32,40.7,4.64,0.63,1.06,0.19,21.2,4.49,-0.01,1.18,0.21,9.83,1.54,6.13,0.88);
