insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','24Q2',7.98,1.71,27.3,1.17,0.17,17.4,14.6,-1.24,-0.33,-0.05,-18.9,-4.08,0.29,-0.08,0.13,63.3,-1.12,2.54,-0.21,0.37,-2.66,2.79,-1.39,1.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2023',12.9,-1.79,-12.1,1.92,-0.47,-19.7,14.9,-1.39,-0.72,-0.25,-53.7,-5.56,-2.38,-0.56,0.36,38.8,-4.51,0.18,-1.54,0.98,-7.09,0.56,-4.25,1.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2022',14.7,11.8,405,2.39,1.99,496,16.3,2.5,-0.47,-0.31,-202,-3.18,2.13,-0.92,-0.78,-556,-4.69,0.13,-2.52,-2.14,-7.65,-6.1,-5.65,-4.42);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2021',2.92,-7.32,-71.5,0.4,-5.88,-93.6,13.8,-47.6,-0.15,-4.54,-104,-5.3,-48.1,-0.14,-3.66,-104,-4.82,-39.2,-0.38,-16.84,-1.55,-55.3,-1.23,-41.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2020',10.2,6.25,157,6.29,5.68,932,61.4,46.1,4.38,4.33,7949,42.8,41.4,3.52,3.43,3681,34.3,32.4,16.46,16.01,53.8,51.4,40.6,38.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2019',3.98,-0.88,-18.1,0.61,-0.18,-23.2,15.3,-1.01,0.05,-0.1,-64.4,1.37,-1.78,0.09,-0.01,-12.6,1.98,0.04,0.45,-0.08,2.39,-0.5,1.83,-0.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2018',4.86,-0.02,-0.41,0.79,-0.18,-18.8,16.3,-3.69,0.15,-0.15,-49.6,3.14,-3.06,0.11,-0.09,-45.6,1.94,-1.78,0.53,-0.49,2.89,-2.78,2.1,-2.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2017',4.88,0.7,16.7,0.98,0.12,13.5,20,-0.57,0.3,0,-1.02,6.2,-1.11,0.2,-0.07,-26.4,3.72,-2.27,1.02,-0.44,5.66,-2.47,4.14,-1.94);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2016',4.18,-0.03,-0.79,0.86,-0.1,-10,20.5,-2.1,0.31,-0.1,-23.9,7.31,-2.22,0.27,-0.05,-15.4,5.99,-1.3,1.46,-0.35,8.13,-2.65,6.08,-2.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2015',4.22,0.39,10.1,0.96,0.18,22.7,22.6,2.32,0.4,0.11,36,9.53,1.82,0.31,-0.02,-6.3,7.29,-1.48,1.81,-0.23,10.8,-2.35,8.11,-1.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4431','2014',3.83,-0.11,-2.72,0.78,-0.02,-2.83,20.3,-0.02,0.3,-0.01,-3.24,7.71,-0.04,0.34,0.05,17.8,8.77,2.06,2.04,0.21,13.1,1.64,9.29,1.97);
