insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','24Q2',62.2,-32.5,-34.3,9.02,-24,-72.7,14.5,-20.3,3.66,-20.1,-84.6,5.88,-19.2,7.75,-23.3,-75,12.5,-20.3,0.79,-2.38,2.86,-8.76,1.89,-5.67);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2023',150,-0.37,-0.25,41.2,28.3,219,27.4,18.8,27.6,32.5,664,18.4,21.6,39.2,12.5,46.8,26.1,8.37,4,1.28,7.27,2.22,4.83,1.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2022',151,13.9,10.2,12.9,-8.47,-39.6,8.58,-7.08,-4.89,-9.96,-196,-3.25,-6.96,26.7,-3.65,-12,17.7,-4.48,2.72,-0.38,5.05,-0.79,3.34,-0.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2021',137,34.9,34.3,21.4,-4.5,-17.4,15.7,-9.8,5.07,-7.4,-59.3,3.71,-8.55,30.3,5.82,23.7,22.2,-1.9,3.1,0.6,5.84,1.03,3.9,0.67);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2020',102,-27.2,-21.1,25.9,-4.42,-14.6,25.5,1.94,12.5,-3.78,-23.3,12.3,-0.35,24.5,3.89,18.8,24.1,8.11,2.5,0.39,4.81,0.74,3.23,0.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2019',129,6.75,5.53,30.3,2.79,10.1,23.5,0.98,16.3,3.4,26.4,12.6,2.08,20.6,-2.17,-9.53,16,-2.66,2.11,-0.22,4.07,-0.5,2.71,-0.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2018',122,5.56,4.77,27.5,1.51,5.81,22.5,0.22,12.9,0.59,4.77,10.5,0,22.8,6.62,40.9,18.7,4.79,2.33,0.68,4.57,1.31,3.01,0.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2017',117,-5.82,-4.75,26,5.95,29.7,22.3,5.92,12.3,6.32,106,10.5,5.67,16.2,16.9,2324,13.9,14.5,1.65,1.72,3.26,3.4,2.14,2.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2016',122,-52.5,-30,20.1,-18.7,-48.2,16.4,-5.77,5.96,-17.5,-74.6,4.87,-8.54,-0.73,-25,-103,-0.59,-14.5,-0.07,-2.55,-0.14,-4.75,-0.09,-3.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2015',175,-0.23,-0.13,38.8,9.62,33,22.2,5.53,23.5,6.85,41.3,13.4,3.93,24.3,-6.41,-20.9,13.9,-3.64,2.48,-0.65,4.61,-1.34,3.21,-1.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1722','2014',175,14.9,9.31,29.1,6.65,29.6,16.6,2.61,16.6,8.72,111,9.48,4.56,30.7,5.3,20.9,17.5,1.68,3.13,0.54,5.95,0.95,4.48,0.66);
