insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','24Q2',11.3,8.98,387,4.29,3.95,1147,38,23.1,3.41,3.4,19662,30.2,29.4,3.06,3,5558,27,24.7,3.27,3.21,24.3,23.8,21.1,20.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2023',7.19,2.24,45.3,0.76,1.4,218,10.6,23.6,-0.19,1.38,87.8,-2.66,29.1,0.39,0.94,171,5.41,16.5,0.42,1.01,1.65,3.97,1.51,3.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2022',4.95,-1.79,-26.5,-0.65,-0.48,-286,-13,-10.6,-1.57,-0.41,-35,-31.7,-14.5,-0.55,0.63,53.5,-11.1,6.43,-0.59,0.67,-2.32,2.49,-2.1,2.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2021',6.73,-0.08,-1.17,-0.17,-0.76,-128,-2.48,-11.1,-1.16,-0.78,-202,-17.3,-11.6,-1.18,-1.33,-893,-17.5,-19.7,-1.26,-1.42,-4.81,-5.4,-4.24,-4.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2020',6.81,-0.99,-12.7,0.59,-0.08,-11.8,8.66,0.09,-0.39,-0.02,-4.91,-5.66,-0.95,0.15,0.12,384,2.18,1.79,0.16,0.13,0.59,0.47,0.51,0.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2019',7.8,-3.02,-27.9,0.67,-0.98,-59.5,8.57,-6.68,-0.37,-0.87,-173,-4.71,-9.36,0.03,-0.98,-97,0.39,-8.98,0.03,-1.06,0.12,-3.81,0.1,-2.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2018',10.8,-2.46,-18.5,1.65,-0.97,-37,15.3,-4.48,0.5,-1,-66.4,4.65,-6.63,1.01,0.16,19.4,9.38,2.98,1.09,0.18,3.93,0.65,2.97,0.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2017',13.3,-2.42,-15.4,2.62,-1.09,-29.4,19.7,-3.9,1.5,-0.83,-35.8,11.3,-3.57,0.85,-1.12,-56.9,6.4,-6.17,0.91,-1.2,3.28,-4.26,2.48,-3.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2016',15.7,-0.27,-1.71,3.71,-0.04,-1.13,23.6,0.14,2.33,-0.04,-1.52,14.8,0.03,1.97,-0.46,-18.8,12.6,-2.64,2.11,-0.49,7.54,-2.01,5.88,-1.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2015',16,-1.38,-7.96,3.75,0.14,3.89,23.5,2.68,2.37,0.08,3.38,14.8,1.62,2.43,-0.4,-14.1,15.2,-1.08,2.6,-0.44,9.54,-2.21,7.72,-1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4909','2014',17.4,-0.95,-5.17,3.61,-0.51,-12.4,20.8,-1.72,2.29,-0.5,-17.9,13.2,-2.05,2.83,-0.02,-0.82,16.3,0.72,3.04,-0.04,11.8,-1.15,9.28,-0.68);
