insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','24Q2',148,-0.88,-0.59,15.8,2.22,16.3,10.7,1.56,3.65,1.58,76.2,2.47,1.08,4.22,-1.26,-23,2.85,-0.83,0.25,-0.08,1.64,-0.33,1.23,-0.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2023',285,-62.2,-17.9,25.3,-12.4,-32.9,8.88,-1.98,2.81,-9.89,-77.9,0.98,-2.67,4.45,-29.6,-86.9,1.56,-8.25,0.26,-1.76,0.81,-4.96,0.6,-3.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2022',347,19.2,5.86,37.7,-4.05,-9.7,10.9,-1.87,12.7,-2.8,-18.1,3.66,-1.07,34,12.6,58.9,9.81,3.27,2.02,0.75,5.77,2.31,4.34,1.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2021',328,40.2,14,41.7,11.6,38.5,12.7,2.26,15.5,9.74,169,4.73,2.72,21.4,0.48,2.27,6.53,-0.75,1.27,0.02,3.46,0.13,2.67,0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2020',288,-78.6,-21.5,30.1,-7.08,-19,10.5,0.31,5.76,-4.9,-45.9,2,-0.91,21,-30.9,-59.6,7.28,-8.63,1.25,-1.83,3.33,-5.04,2.62,-4.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2019',366,8.88,2.48,37.2,1.75,4.92,10.2,0.24,10.7,1.82,20.6,2.91,0.44,51.9,4.51,9.53,15.9,1.03,3.08,0.26,8.38,1.19,6.71,1.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2018',358,-49.5,-12.2,35.5,-15.9,-31,9.92,-2.71,8.84,-15.8,-64.1,2.47,-3.57,47.4,4.58,10.7,14.9,3.19,2.82,0.28,7.18,0.55,5.67,0.57);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2017',407,8.57,2.15,51.4,-3.55,-6.47,12.6,-1.16,24.6,-3.11,-11.2,6.05,-0.91,42.8,7.99,22.9,11.7,2.06,2.54,0.47,6.64,0.56,5.1,0.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2016',398,-30.2,-7.05,54.9,-6.46,-10.5,13.8,-0.53,27.7,-5.6,-16.8,6.96,-0.82,34.8,6.53,23.1,9.64,2.12,2.07,0.39,6.08,0.13,4.46,0.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2015',429,-53.2,-11,61.4,4,6.97,14.3,2.41,33.3,4.36,15,7.77,1.76,28.3,-6.9,-19.6,7.52,-0.41,1.68,-0.41,5.95,-1.22,4.16,-0.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1434','2014',482,7.29,1.54,57.4,11.7,25.6,11.9,2.28,29,8.78,43.5,6.01,1.76,35.2,13.9,65.3,7.93,3.34,2.09,0.82,7.18,3.18,5.04,2.21);
