insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','24Q2',16.8,1.35,8.75,4.88,0.09,1.96,29.1,-1.94,2.33,-0.13,-5.21,13.9,-2.05,1.84,-0.04,-2.14,11.3,-1.25,4.37,-0.1,16.8,-2.02,8.92,-1.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2023',32.3,2.39,7.99,10.1,0.94,10.3,31.1,0.64,4.82,-0.31,-6.09,14.9,-2.23,3.79,-1.3,-25.5,12,-4.79,9.02,-3.09,18.3,-8.13,10.5,-5.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2022',29.9,9.97,49.9,9.13,3.88,73.8,30.5,4.19,5.13,2.8,121,17.1,5.49,5.08,3.01,145,16.8,6.62,12.11,6.95,26.4,14,15.8,8.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2021',20,5.06,33.9,5.25,0.55,11.7,26.3,-5.22,2.33,0.34,17,11.6,-1.69,2.08,0.64,44.5,10.2,0.9,5.16,1.55,12.4,3.35,7.77,1.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2020',14.9,-1.36,-8.35,4.7,-0.49,-9.51,31.5,-0.4,1.99,-0.23,-10.2,13.3,-0.28,1.44,-0.54,-27.3,9.33,-2.59,3.61,-1.8,9.06,-4.72,6.28,-3.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2019',16.3,0.61,3.89,5.19,0.48,10.3,31.9,1.84,2.22,0.25,12.6,13.6,1.06,1.98,0.18,10.1,11.9,0.35,5.41,0.22,13.8,-0.53,9.81,-0.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2018',15.7,2.05,15.1,4.71,0.04,0.87,30.1,-4.23,1.97,-0.26,-11.6,12.6,-3.79,1.79,-0.02,-0.92,11.6,-2.29,5.19,-0.07,14.3,-0.45,10.3,-0.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2017',13.6,-0.63,-4.41,4.67,-0.69,-12.9,34.3,-3.35,2.22,-0.53,-19.2,16.3,-2.99,1.81,-0.65,-26.3,13.9,-3.39,5.26,-1.88,14.8,-3.62,11.1,-2.94);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2016',14.2,0.1,0.68,5.36,0.47,9.63,37.6,3.07,2.75,0.29,11.8,19.3,1.93,2.46,0.59,31.3,17.2,3.53,7.14,1.28,18.4,1.43,14,2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2015',14.1,1.15,8.89,4.89,0.61,14.2,34.6,1.6,2.46,0.28,12.7,17.4,0.59,1.87,0.11,6.3,13.7,-0.47,5.86,0.18,17,-5.72,12,-0.94);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4557','2014',13,0.53,4.25,4.28,0.31,7.79,33,1.08,2.18,0.03,1.19,16.8,-0.51,1.76,0.32,22,14.2,1.97,5.68,0.17,22.7,-6.82,13,1.34);
