insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','24Q1',5.4,2.81,108,5.03,2.6,107,93,-0.55,1.83,1.93,1992,33.9,37.6,2.27,1.8,378,42.1,23.7,0.65,0.51,18.9,14.7,5.59,3.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2023',12.2,5.39,79.1,11.1,5.07,83.6,91.2,2.26,0.11,3.78,103,0.89,54.8,1.8,4,182,14.7,47,0.51,1.14,3.88,8.34,1.41,3.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2022',6.82,-19.6,-74.2,6.07,-19.3,-76.1,89,-7.15,-3.68,-15.8,-130,-53.9,-99.9,-2.2,-14.6,-118,-32.3,-79.2,-0.63,-4.37,-4.46,-30.6,-1.66,-9.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2021',26.4,13.4,102,25.4,13.2,109,96.1,3.02,12.2,8.92,276,46,21.3,12.4,8.25,199,46.9,15.2,3.74,2.5,26.1,15.8,7.43,4.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2020',13.1,4.55,53.4,12.2,4.42,57.2,93.1,2.23,3.23,2.86,784,24.7,20.4,4.15,2.74,194,31.8,15.2,1.24,0.84,10.3,6.66,2.92,1.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2019',8.51,5.54,186,7.74,5.52,248,90.9,16.3,0.37,5.55,107,4.29,178,1.41,5.82,132,16.5,165,0.4,1.6,3.63,14.3,1.22,5.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2018',2.98,-6.15,-67.4,2.22,-6.17,-73.6,74.6,-17.4,-5.19,-5.68,-1140,-174,-180,-4.41,-6.53,-308,-148,-171,-1.2,-1.77,-10.7,-15.5,-3.82,-5.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2017',9.12,4.07,80.5,8.4,3.97,89.7,92,4.5,0.5,3.51,117,5.47,65.1,2.12,3.76,230,23.3,55.7,0.57,0.97,4.83,8.4,2.01,3.58);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2016',5.06,0.58,13,4.42,0.9,25.7,87.5,8.82,-3.01,2.1,41,-59.6,54.6,-1.64,0.91,35.8,-32.4,24.6,-0.4,0.2,-3.57,1.63,-1.57,0.48);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2015',4.47,-6.31,-58.5,3.52,-6.24,-63.9,78.7,-11.8,-5.11,-5.67,-1016,-114,-119,-2.55,-4.26,-249,-57,-72.8,-0.6,-1,-5.2,-8.63,-2.05,-3.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6015','2014',10.8,0.11,1.06,9.76,0,-0.04,90.5,-0.99,0.56,-0.4,-41.8,5.18,-3.81,1.71,-0.98,-36.4,15.9,-9.33,0.4,-0.21,3.43,-1.66,1.34,-0.78);
