insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','24Q2',64.4,-2.86,-4.25,9.82,1.4,16.6,15.3,2.73,-0.71,4.58,86.6,-1.1,6.76,-2.37,3.29,58.1,-3.53,5.26,-0.27,0.42,-10.8,16.9,-3.6,4.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2023',135,-37.7,-21.8,22.2,3.82,20.8,16.4,5.79,-2.06,22.4,91.6,-1.52,12.6,-5.49,38.1,87.4,-4.13,21.1,-0.66,4.66,-12.7,54.1,-4.12,21.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2022',173,8.02,4.86,18.4,-3.59,-16.4,10.6,-2.7,-24.4,-12.8,-111,-14.1,-7.09,-43.6,-24.7,-130,-25.2,-13.7,-5.32,-3.01,-66.8,-47,-25.4,-16.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2021',165,-5.91,-3.46,22,-8.37,-27.6,13.3,-4.44,-11.6,-13.8,-621,-7.03,-8.33,-18.9,-17.6,-1359,-11.6,-10.9,-2.31,-2.15,-19.8,-18.8,-9.32,-8.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2020',171,1.6,0.95,30.3,6.21,25.7,17.8,3.5,2.22,6.49,152,1.3,3.83,-1.3,10.5,89,-0.66,6.14,-0.16,1.27,-1.01,8.33,-0.5,4.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2019',169,-4.85,-2.79,24.1,0.34,1.41,14.3,0.59,-4.27,-3.01,-239,-2.52,-1.8,-11.8,3.67,23.8,-6.8,2.25,-1.43,0.39,-9.34,2.56,-4.73,1.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2018',174,73.1,72.5,23.8,12,102,13.7,2.02,-1.26,0.49,28.1,-0.72,1.01,-15.4,-11.6,-304,-9.05,-5.21,-1.82,-1.09,-11.9,-6.6,-6.24,-3.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2017',101,73.2,265,11.8,10.6,925,11.6,7.5,-1.75,0.58,25,-1.74,6.7,-3.81,-1.02,-36.6,-3.83,6.31,-0.73,1.21,-5.31,18.2,-2.75,6.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2016',27.7,3.07,12.5,1.15,0.76,194,4.15,2.56,-2.33,2.04,46.6,-8.44,9.34,-2.79,2.07,42.5,-10.1,10.3,-1.94,1.67,-23.6,12,-9.7,7.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2015',24.6,-0.35,-1.39,0.39,-3.3,-89.4,1.59,-13.2,-4.37,-4.96,-840,-17.8,-20.1,-4.86,-5.18,-1632,-20.5,-21.6,-3.61,-3.9,-35.6,-37.8,-17,-18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4414','2014',24.9,-4.5,-15.3,3.69,-0.59,-13.8,14.8,0.25,0.59,-0.65,-52.4,2.37,-1.85,0.32,-0.58,-64.7,1.15,-1.9,0.29,-1.03,2.18,-8.96,1,-2.35);
