insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','24Q2',90.6,3.46,3.97,4.54,-2.3,-33.7,5.01,-2.84,-2.15,-1.55,-258,-2.37,-1.68,-16.6,-13.2,-386,-18.3,-14,-1.71,-1.36,-9.4,-7.33,-5.72,-4.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2023',179,-54.9,-23.5,14.7,-18.1,-55.2,8.2,-5.81,1.51,-15.9,-91.3,0.84,-6.6,-4.94,-11.7,-173,-3.04,-5.87,-0.51,-1.21,-1.53,-3.4,-0.94,-2.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2022',234,-12.5,-5.07,32.7,-36.7,-52.9,14,-14.2,17.4,-34.4,-66.4,7.44,-13.6,6.79,-27.2,-80,2.84,-11.1,0.7,-2.8,1.87,-8.07,1.14,-5.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2021',246,75.1,43.9,69.4,34,96.2,28.2,7.51,51.8,37.7,269,21,12.8,34,26.7,367,13.9,9.99,3.5,2.75,9.94,7.96,6.37,5.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2020',171,-51.7,-23.2,35.4,-7.88,-18.2,20.7,1.26,14,-7.46,-34.7,8.21,-1.45,7.27,-4.41,-37.8,3.95,-1.28,0.75,-0.45,1.98,-1.52,1.33,-0.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2019',223,-21.6,-8.84,43.3,-22.5,-34.2,19.4,-7.49,21.5,-24.8,-53.6,9.66,-9.3,11.7,-18.3,-61,5.23,-8.08,1.2,-2.98,3.5,-8.84,2.3,-5.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2018',244,43.2,21.5,65.8,10.1,18.1,26.9,-0.77,46.3,9.89,27.2,19,0.85,29.9,7.21,31.7,13.3,1.88,4.18,0.49,12.3,0.8,7.54,0.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2017',201,42.2,26.6,55.7,9.99,21.9,27.7,-1.07,36.4,7.06,24,18.1,-0.37,22.7,8.02,54.5,11.4,2.54,3.69,1.19,11.5,3.98,6.84,2.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2016',159,-9.62,-5.71,45.7,9.15,25,28.8,7.07,29.3,8.48,40.6,18.5,6.09,14.7,6.2,72.9,8.9,4.59,2.5,1.05,7.56,3.8,4.71,2.37);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2015',169,-51.5,-23.4,36.6,-0.61,-1.64,21.7,4.8,20.9,1.27,6.5,12.4,3.48,8.51,-17.1,-66.8,4.31,-7.17,1.45,-3.31,3.75,-9.02,2.34,-5.58);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2104','2014',220,4.66,2.16,37.2,0.46,1.24,16.9,-0.15,19.6,-0.77,-3.79,8.9,-0.55,25.7,17.6,217,11.5,8.43,4.76,3.26,12.8,9.22,7.92,5.76);
