insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','24Q2',3.61,-2.3,-38.9,0.42,-0.38,-47.7,11.5,-1.93,-0.06,-0.13,-181,-1.61,-2.82,0.06,-0.63,-91.6,1.62,-10.1,0.06,-0.7,1.26,-14,0.76,-7.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2023',9.01,-3.05,-25.3,0.91,-0.54,-37.3,10.1,-1.92,-0.27,-0.36,-392,-2.97,-3.73,0.38,0.2,110,4.22,2.72,0.41,0.21,4.23,2.16,2.45,1.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2022',12.1,0.32,2.7,1.45,-0.08,-5.48,12,-1.04,0.09,0,-0.13,0.76,-0.02,0.18,0.11,153,1.5,0.89,0.2,0.12,2.07,1.23,1.22,0.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2021',11.7,1.2,11.4,1.53,0.48,46,13.1,3.1,0.09,0.47,124,0.78,4.36,0.07,0.37,124,0.61,3.41,0.08,0.4,0.84,4.3,0.54,2.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2020',10.5,-1.79,-14.5,1.05,-0.16,-13,9.96,0.17,-0.38,0.06,13.9,-3.58,-0.02,-0.3,0.1,24.9,-2.8,0.39,-0.32,0.11,-3.46,0.59,-2.28,0.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2019',12.3,-3.03,-19.7,1.21,-0.72,-37.2,9.78,-2.73,-0.44,-0.58,-404,-3.56,-4.5,-0.39,-2.08,-123,-3.19,-14.1,-0.43,-2.27,-4.05,-20.6,-2.79,-13.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2018',15.4,-1.72,-10.1,1.92,-0.15,-7.27,12.5,0.38,0.14,-0.16,-52.5,0.94,-0.84,1.68,1.81,1409,11,11.7,1.84,1.98,16.5,17.8,11.1,12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2017',17.1,0.4,2.38,2.07,-0.14,-6.15,12.1,-1.1,0.3,-0.03,-9.23,1.78,-0.23,-0.13,-0.8,-119,-0.75,-4.78,-0.14,-0.87,-1.31,-7.92,-0.84,-5.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2016',16.7,-2.68,-13.9,2.21,0.67,43.2,13.2,5.28,0.33,0.6,224,2.01,3.4,0.67,0.94,349,4.03,5.42,0.73,1.02,6.61,9.15,4.26,5.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2015',19.4,-1.78,-8.39,1.54,-0.05,-3.31,7.97,0.42,-0.27,0.05,15.6,-1.39,0.12,-0.27,0.42,61.1,-1.39,1.89,-0.29,0.47,-2.54,3.76,-1.59,2.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5488','2014',21.1,1.17,5.84,1.6,0.91,134,7.55,4.14,-0.32,0.85,72.6,-1.51,4.32,-0.69,0.49,41.6,-3.28,2.66,-0.76,0.54,-6.3,4.14,-3.8,2.78);
