insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','24Q2',7.29,0.1,1.35,1.31,0.12,9.66,17.9,1.36,-0.87,-0.02,-2.86,-11.9,-0.18,-0.53,-0.48,-932,-7.36,-6.17,-0.44,-0.4,-8.24,-7.08,-5.33,-4.61);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2023',14,-5.8,-29.3,2.21,-1.59,-41.8,15.8,-3.4,-1.95,-2.02,-2686,-13.9,-14.3,-1.2,-1.53,-459,-8.97,-10.5,-1,-1.28,-8.88,-10.9,-5.5,-6.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2022',19.8,4.01,25.3,3.8,1.04,37.6,19.2,1.71,0.08,0.62,114,0.38,3.83,0.33,0.73,184,1.52,4.08,0.28,0.61,2.07,4.81,1.22,2.91);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2021',15.8,1.54,10.8,2.76,-0.15,-5.04,17.5,-2.91,-0.54,-0.07,-15.6,-3.45,-0.14,-0.4,-1.14,-154,-2.55,-7.64,-0.33,-0.94,-2.74,-7.6,-1.69,-4.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2020',14.3,1.73,13.8,2.91,0.77,36.2,20.4,3.36,-0.47,0.49,50.9,-3.3,4.34,0.74,1.44,206,5.08,11,0.61,1.19,4.86,9.8,3.11,6.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2019',12.5,-6.12,-32.8,2.14,-1.9,-47.1,17,-4.59,-0.96,-1.19,-513,-7.65,-8.89,-0.7,-1.41,-198,-5.95,-9.5,-0.58,-1.17,-4.94,-9.25,-3.36,-6.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2018',18.7,-2.67,-12.5,4.03,-0.25,-5.91,21.6,1.51,0.23,1.06,128,1.24,5.14,0.71,1.52,188,3.55,7.4,0.59,1.26,4.3,9.45,3.05,6.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2017',21.3,-5.4,-20.2,4.29,-0.24,-5.23,20.1,3.18,-0.83,-0.93,-941,-3.89,-4.26,-0.81,-1.79,-182,-3.86,-7.53,-0.67,-1.5,-5.15,-11,-3.4,-7.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2016',26.7,4.5,20.2,4.52,0.56,14.2,16.9,-0.89,0.1,0.81,114,0.37,3.57,0.98,1.57,267,3.67,6.3,0.83,1.33,5.81,9.19,3.71,5.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2015',22.2,1.49,7.2,3.96,0.14,3.62,17.8,-0.61,-0.71,-0.09,-13.7,-3.2,-0.18,-0.59,-0.23,-63.3,-2.63,-0.91,-0.5,-0.21,-3.38,-1.32,-2.1,-0.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3419','2014',20.7,-1.08,-4.96,3.82,-0.19,-4.77,18.4,0.04,-0.63,-0.36,-139,-3.02,-1.82,-0.36,0.94,72.4,-1.73,4.22,-0.29,0.82,-2.06,5.76,-1.18,2.82);
