insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','24Q2',13.6,1.66,13.9,5.12,2.06,67.3,37.5,12,2.05,1.88,1155,15,13.6,1.25,-1.21,-49.3,9.85,-11.4,1.18,-1.14,7.47,-6.84,4.35,-3.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2023',21.1,-5.15,-19.6,4.69,-2.35,-33.3,22.2,-4.58,-0.84,-1.83,-185,-3.98,-7.75,1.58,-0.67,-29.8,8.34,-0.82,1.49,-0.63,5.04,-2.09,2.91,-1.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2022',26.3,0.17,0.65,7.04,1.02,16.9,26.8,3.72,0.99,0.52,109,3.77,1.95,2.24,-2.89,-56.3,9.17,-11,2.12,-2.59,7.13,-9.9,4.07,-5.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2021',26.1,2.65,11.3,6.02,-0.29,-4.59,23,-3.84,0.48,-0.48,-50.3,1.82,-2.25,5.13,4.38,580,20.2,16.3,4.71,4.02,17,13.9,9.87,8.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2020',23.5,-5.01,-17.6,6.31,0,-0.01,26.9,4.72,0.96,0.74,342,4.07,3.31,0.75,1.25,252,3.85,5.25,0.69,1.14,3.12,4.49,1.78,2.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2019',28.5,-3.56,-11.1,6.31,-0.29,-4.46,22.2,1.54,0.22,0.23,1625,0.76,0.8,-0.5,-0.5,-6349,-1.4,-1.96,-0.45,-0.46,-1.37,-1.96,-0.79,-1.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2018',32,-0.49,-1.5,6.61,-0.64,-8.89,20.6,-1.67,-0.01,-0.73,-102,-0.04,-2.25,0.01,-0.47,-98.3,0.55,-1.15,0.01,-0.43,0.59,-1.23,0.34,-0.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2017',32.5,-2.78,-7.86,7.25,-1.74,-19.3,22.3,-3.17,0.72,-1.12,-60.9,2.21,-3,0.48,-0.26,-35,1.7,-0.69,0.44,-0.23,1.82,-0.91,1.05,-0.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2016',35.3,-3.26,-8.45,8.99,0.3,3.47,25.5,2.93,1.84,0.24,15,5.21,1.06,0.73,0.07,10.6,2.39,0.4,0.67,0.05,2.73,0.24,1.6,0.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2015',38.6,-2.84,-6.86,8.69,1.02,13.3,22.5,4.01,1.6,-0.14,-8.04,4.14,-0.05,0.66,-0.49,-42.5,1.99,-1.3,0.62,-0.5,2.49,-2.22,1.46,-1.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9944','2014',41.4,1.83,4.61,7.67,0.91,13.5,18.5,1.44,1.74,0.2,12.8,4.2,0.31,1.16,0.1,9.54,3.29,0.09,1.12,0.07,4.71,-0.06,2.71,-0.03);
