insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','24Q2',15.5,-1.87,-10.7,-0.51,0.82,61.8,-3.27,4.37,-2.6,0.64,19.8,-16.7,1.88,3.55,3.88,1187,22.9,24.7,1.96,2.14,7.79,8.61,4.91,5.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2023',35.2,-16.2,-31.5,-2.75,-4.56,-252,-7.82,-11.3,-6.6,-4.12,-166,-18.8,-13.9,8.36,3.25,63.7,23.8,13.8,4.61,1.8,9.87,3.38,6.09,2.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2022',51.3,-2.17,-4.06,1.81,-2.61,-59,3.53,-4.73,-2.48,-2.57,-2740,-4.82,-5,5.11,-0.23,-4.3,9.95,-0.03,2.81,-0.13,6.49,-0.6,3.79,-0.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2021',53.5,5.65,11.8,4.42,2.51,132,8.26,4.28,0.09,2.15,105,0.18,4.46,5.34,1.19,28.9,9.97,1.32,2.94,0.8,7.1,1.43,4.05,0.73);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2020',47.8,-3.09,-6.07,1.91,-1.51,-44.3,3.98,-2.73,-2.05,-1.14,-125,-4.29,-2.5,4.14,-1.36,-24.8,8.65,-2.15,2.14,-0.41,5.67,-1.94,3.32,-1.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2019',50.9,-4.29,-7.77,3.42,-0.67,-16.3,6.71,-0.68,-0.91,-0.09,-11,-1.79,-0.3,5.5,2.5,83.1,10.8,5.36,2.55,1.21,7.61,3.4,4.49,1.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2018',55.2,1.47,2.74,4.08,0.26,6.77,7.39,0.28,-0.82,-0.43,-112,-1.49,-0.77,3.01,3.09,3700,5.44,5.6,1.34,1.37,4.2,4.32,2.52,2.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2017',53.8,4.76,9.72,3.83,-0.92,-19.3,7.11,-2.56,-0.39,-0.96,-167,-0.72,-1.9,-0.08,-0.55,-118,-0.16,-1.12,-0.03,-0.2,-0.11,-0.63,-0.07,-0.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2016',49,-12.6,-20.5,4.74,-2.2,-31.7,9.68,-1.59,0.58,-1.45,-71.5,1.18,-2.11,0.47,-46.8,-99,0.96,-75.8,0.17,-14.86,0.52,-56.5,0.34,-34.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2015',61.6,-11.7,-15.9,6.94,-2.12,-23.4,11.3,-1.09,2.02,-1.34,-39.8,3.28,-1.3,47.3,43.6,1198,76.7,71.8,15.03,13.88,57,51.1,35,31.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2316','2014',73.3,11.9,19.4,9.06,2.87,46.5,12.4,2.28,3.36,2.18,185,4.59,2.66,3.64,0.9,32.8,4.97,0.5,1.15,0.28,5.84,1.14,3.18,0.67);
