insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','24Q2',52.2,7.27,16.2,4.5,0.25,5.82,8.61,-0.84,1.88,0.05,2.71,3.59,-0.47,2.41,-0.2,-7.59,4.61,-1.18,1.94,-0.16,13.5,-1.57,7.08,-0.61);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2023',97.6,9.15,10.3,9.74,1.61,19.9,9.98,0.79,4.65,1.32,39.8,4.76,1,5.57,0.36,6.99,5.71,-0.18,4.5,0.29,15.5,0.09,8.06,0.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2022',88.4,3.59,4.24,8.13,1.06,15,9.19,0.86,3.33,0.9,37.3,3.76,0.91,5.21,1.17,28.9,5.89,1.13,4.21,0.95,15.4,2.39,7.53,1.58);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2021',84.8,-3.52,-3.98,7.07,2.03,40.3,8.33,2.63,2.42,1.78,274,2.86,2.12,4.04,2.06,105,4.76,2.53,3.26,1.66,13,6.38,5.94,2.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2020',88.4,-4.8,-5.15,5.04,-0.07,-1.32,5.7,0.22,0.65,0.32,99.3,0.73,0.38,1.97,0.71,55.6,2.23,0.87,1.6,0.57,6.66,2.41,3.06,1.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2019',93.2,-15,-13.8,5.11,0.27,5.65,5.48,1.01,0.32,0.04,13.8,0.35,0.08,1.27,0.29,29.6,1.36,0.46,1.03,0.24,4.25,1.03,1.78,0.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2018',108,8.42,8.45,4.83,-2.06,-29.8,4.47,-2.44,0.29,-2.22,-88.6,0.26,-2.25,0.98,-0.89,-47.6,0.91,-0.97,0.79,-0.72,3.23,-2.73,1.24,-1.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2017',99.7,15,17.7,6.89,-3.19,-31.6,6.91,-4.98,2.51,-2.68,-51.6,2.51,-3.6,1.87,-0.61,-24.7,1.87,-1.05,1.51,-0.49,5.96,-1.44,2.46,-0.99);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2016',84.7,-11,-11.5,10.1,1.42,16.4,11.9,2.85,5.18,1.36,35.5,6.11,2.12,2.48,-2.61,-51.3,2.93,-2.39,2,-2.11,7.4,-6.87,3.45,-3.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2015',95.7,-7.8,-7.54,8.66,-1.63,-15.8,9.04,-0.89,3.82,-1.54,-28.7,3.99,-1.18,5.09,-1.72,-25.3,5.32,-1.27,4.11,-1.4,14.3,-5.44,7.16,-1.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2014',104,0.91,0.89,10.3,0.5,5.07,9.94,0.4,5.36,0.01,0.12,5.18,-0.04,6.81,0.67,10.8,6.58,0.59,5.51,0.45,19.7,-0.87,8.99,0.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2013',103,3.75,3.79,9.79,0.56,6.08,9.54,0.21,5.35,0.38,7.6,5.22,0.18,6.15,0.63,11.5,5.99,0.41,5.06,0.21,20.6,-1.18,8.84,-1.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2012',98.9,14,16.4,9.23,1.45,18.7,9.34,0.17,4.98,0.34,7.32,5.03,-0.43,5.52,-0.03,-0.49,5.58,-0.95,4.85,-0.05,21.8,-2.47,9.95,-1.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2011',84.9,9.99,13.3,7.78,0.32,4.31,9.16,-0.79,4.64,0.09,1.94,5.46,-0.61,5.54,0.52,10.3,6.53,-0.18,4.9,0.46,24.2,0.63,11.8,-0.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2010',74.9,16.2,27.7,7.46,0.84,12.8,9.95,-1.32,4.55,0.51,12.5,6.07,-0.82,5.02,0.83,19.9,6.71,-0.44,4.44,0.73,23.6,2.09,11.9,0.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1535','2009',58.7,-14.2,-19.5,6.61,0.18,2.82,11.3,2.45,4.04,0.12,3.03,6.89,1.51,4.19,0.56,15.3,7.14,2.16,3.71,0.32,21.5,-1.12,11.3,-0.63);
