insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','24Q2',0.77,0.08,12.1,0.2,0.02,9.49,25.5,-0.62,-0.05,0,4.36,-6.09,1.05,0.04,0.05,348,4.67,6.78,0.1,0.14,4.77,6.55,3.76,5.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2023',1.31,-0.69,-34.4,0.27,-0.05,-14.3,20.7,4.86,-0.2,-0.09,-84.7,-15.1,-9.72,-0.15,-0.08,-106,-11.2,-7.61,-0.4,-0.21,-9.34,-5.08,-7.06,-3.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2022',1.99,0.48,31.9,0.32,0.06,21.1,15.9,-1.41,-0.11,0.04,28.6,-5.36,4.54,-0.07,0.07,50,-3.56,5.82,-0.19,0.2,-4.26,3.75,-3.09,3.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2021',1.51,0.49,48.5,0.26,0.15,127,17.3,6,-0.15,0.2,57.5,-9.9,24.7,-0.14,0.18,55.6,-9.38,22,-0.39,0.48,-8.01,8,-6.4,7.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2020',1.02,0.07,7.37,0.11,-0.05,-28.9,11.3,-5.76,-0.35,-0.08,-30.9,-34.6,-6.23,-0.32,-0.06,-22.1,-31.4,-3.79,-0.87,-0.05,-16,-2.31,-13.8,-1.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2019',0.95,0.17,22.5,0.16,0.14,692,17,14.4,-0.27,0.16,36.7,-28.4,26.5,-0.26,0,0.53,-27.6,6.37,-0.82,0.17,-13.7,0.83,-12,0.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2018',0.77,0.19,32.4,0.02,-0.12,-85.8,2.64,-22,-0.42,0.11,20.6,-54.9,36.6,-0.26,0.25,49.2,-33.9,54.5,-0.99,0.91,-14.5,8.89,-12.4,8.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2017',0.58,-0.4,-40.5,0.14,0.21,309,24.7,31.7,-0.53,0.25,31.6,-91.5,-11.9,-0.52,0.26,33.8,-88.4,-8.94,-1.9,1.03,-23.4,4.01,-20.5,5.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2016',0.98,-1.05,-51.7,-0.07,0.47,87.1,-7.04,19.4,-0.78,0.37,32,-79.6,-23,-0.78,0.36,31.4,-79.5,-23.5,-2.93,1.99,-27.4,5.35,-25.6,4.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2015',2.03,-6.29,-75.6,-0.54,0.85,61.3,-26.5,-9.78,-1.15,0.93,44.7,-56.6,-31.6,-1.14,0.84,42.6,-56,-32.2,-4.92,4.3,-32.8,9.1,-30,3.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2014',8.32,0.43,5.41,-1.39,-2.31,-251,-16.7,-28.3,-2.08,-2.25,-1351,-25,-27.1,-1.98,-2.17,-1123,-23.8,-26.2,-9.22,-10.21,-41.9,-45,-33.8,-36.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6403','2013',7.9,-22.6,-74.2,0.92,-2.29,-71.4,11.6,1.13,0.17,-1.78,-91.4,2.1,-4.25,0.19,-1.27,-86.7,2.44,-2.3,0.99,-7.33,3.09,-28.2,2.51,-18.8);
