insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','24Q2',18.5,-1.96,-9.58,4.33,-0.09,-1.99,23.5,1.82,0.82,-0.08,-8.7,4.47,0.04,0.94,0.23,33.5,5.07,1.63,1.06,0.27,13.1,3,6.08,1.73);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2023',41.8,-1.67,-3.84,9.27,0.36,3.99,22.2,1.67,2.13,0.18,9.2,5.09,0.61,1.88,0.1,5.42,4.5,0.4,2.12,0.1,13,0.45,5.72,0.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2022',43.5,0.75,1.75,8.92,0.02,0.27,20.5,-0.3,1.95,-0.19,-9,4.48,-0.53,1.78,0,0.1,4.11,-0.07,2.02,0.01,12.5,-0.35,5.4,-0.58);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2021',42.7,-0.14,-0.33,8.89,0.82,10.2,20.8,1.99,2.14,0.57,36.3,5.01,1.35,1.78,0.33,22.5,4.17,0.78,2.01,0.37,12.9,1.98,5.99,0.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2020',42.9,2.57,6.39,8.07,0.14,1.82,18.8,-0.85,1.57,0.24,18.1,3.67,0.36,1.45,0.43,41.7,3.39,0.9,1.64,0.2,10.9,2.17,5.06,1.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2019',40.3,3.27,8.85,7.93,0.61,8.31,19.7,-0.1,1.33,0.44,49.6,3.3,0.9,1.03,0.25,31.5,2.49,0.44,1.44,0.28,8.74,1.17,3.67,0.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2018',37,0.98,2.71,7.32,-0.48,-6.18,19.8,-1.87,0.89,-0.53,-37.2,2.4,-1.53,0.78,-0.39,-33.4,2.05,-1.25,1.16,-0.59,7.57,-4.38,3.43,-2.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2017',36,1.33,3.84,7.8,0.87,12.6,21.6,1.69,1.42,0.47,50.3,3.93,1.21,1.17,0.27,30.5,3.3,0.79,1.75,0.41,12,2.98,5.97,1.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2016',34.7,-0.52,-1.47,6.93,-0.26,-3.64,20,-0.45,0.94,-0.09,-9.05,2.71,-0.23,0.9,0.02,2.69,2.51,-0.01,1.34,0,8.97,0.32,4.2,0.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2015',35.2,0.6,1.73,7.19,0.35,5.16,20.4,0.66,1.04,-0.17,-13.9,2.94,-0.53,0.88,-0.19,-18.1,2.52,-0.67,1.34,-0.25,8.66,-2.05,4.18,-1.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8099','2014',34.6,2.23,6.88,6.83,0.74,12.2,19.7,0.93,1.2,0.31,35.2,3.47,0.73,1.07,-0.09,-8.11,3.18,-0.41,1.59,-0.14,10.7,-1.34,5.34,-1);
