insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','24Q2',49.1,1.17,2.44,10.1,0.16,1.66,20.5,-0.16,3.74,-0.31,-7.55,7.62,-0.82,4.62,0.48,11.6,9.8,0.51,1.27,0.13,11.2,0.57,5.98,-0.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2023',88.9,-0.47,-0.52,17.3,0.88,5.36,19.5,1.09,6.09,0.45,8.01,6.86,0.54,7.28,0.67,10.1,8.72,0.71,2,0.18,9.15,0.77,5.23,-0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2022',89.4,0.31,0.35,16.4,1.11,7.24,18.4,1.18,5.64,-0.3,-5.11,6.32,-0.36,6.61,-10.1,-60.4,8.01,-11.4,1.82,-2.7,8.37,-12.3,5.28,-8.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2021',89,12.3,16.1,15.3,1.29,9.2,17.2,-1.09,5.95,0.67,12.8,6.68,-0.2,16.7,-1.28,-7.11,19.5,-4.48,4.52,-0.34,20.7,-3.99,13.5,-1.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2020',76.7,5.54,7.79,14,2.82,25.2,18.3,2.54,5.27,2.3,77.1,6.87,2.69,18,10.6,143,23.9,13.1,4.86,2.86,24.7,13,14.7,8.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2019',71.2,0.39,0.56,11.2,0.28,2.57,15.7,0.31,2.98,1.62,119,4.18,2.27,7.39,0.77,11.7,10.9,1.19,2,0.48,11.7,1.32,6.27,0.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2018',70.8,-5.63,-7.37,10.9,-1.11,-9.22,15.4,-0.32,1.36,0.31,29.2,1.92,0.54,6.62,3.49,112,9.68,5.34,1.52,0.85,10.4,5.67,5.63,2.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2017',76.4,-24.4,-24.2,12,-13.6,-53.2,15.7,-9.72,1.05,-1.81,-63.3,1.38,-1.46,3.12,-4.77,-60.4,4.34,-3.72,0.67,-0.98,4.7,-6.18,2.75,-3.94);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2016',101,3.16,3.24,25.7,2.7,11.7,25.5,1.94,2.86,0.81,39.4,2.84,0.74,7.89,2.84,56.2,8.06,2.71,1.65,0.65,10.9,4.19,6.69,2.42);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2015',97.7,-5.65,-5.47,23,0.65,2.9,23.5,1.91,2.05,0.28,16,2.1,0.39,5.05,-1.35,-21.1,5.35,-0.88,1,-0.25,6.69,-1.54,4.26,-1.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1604','2014',103,-7.91,-7.11,22.3,1.55,7.47,21.6,2.93,1.77,1.28,263,1.71,1.27,6.4,2.12,49.6,6.23,1.9,1.25,0.45,8.23,1.82,5.29,1.56);
