insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','24Q2',10.7,7.15,202,0.81,0.42,111,7.53,-3.22,-0.27,-0.02,-7.28,-2.55,4.62,1.27,1.32,2626,11.9,13.3,1.85,1.92,37.2,39.1,22.5,23.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2023',11,10.2,1241,1.15,1.15,287180,10.5,10.5,-0.42,0.32,43.5,-3.8,86.5,1.05,1.5,336,9.6,64.1,1.53,2.69,18.7,34.7,13,23.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2022',0.82,0.49,147,0,-0.05,-101,-0.05,-15.7,-0.74,-0.14,-23.7,-90.3,89.9,-0.45,-0.02,-4.64,-54.5,74.1,-1.16,0.13,-16,55.6,-10.1,9.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2021',0.33,-1.27,-79.3,0.05,-0.24,-82.1,15.6,-2.43,-0.6,0.44,42.6,-180,-115,-0.43,0.45,51.6,-129,-73.7,-1.29,2.99,-71.6,49.2,-19.2,15.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2020',1.6,-15.4,-90.6,0.29,-2.15,-88.1,18.1,3.7,-1.04,0.11,9.72,-64.9,-58.1,-0.88,0.17,15.8,-54.9,-48.7,-4.28,1.44,-121,-39.5,-34.4,-11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2019',17,-5.49,-24.5,2.44,-0.95,-28,14.4,-0.7,-1.15,-0.11,-10.5,-6.79,-2.15,-1.05,0.02,2.14,-6.16,-1.4,-5.72,-2.76,-81.3,-35.5,-23.4,-6.99);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2018',22.5,-1.91,-7.85,3.39,0.2,6.23,15.1,2,-1.04,-0.25,-31.8,-4.64,-1.4,-1.07,0.12,10.5,-4.76,0.14,-2.96,0.35,-45.8,-11.3,-16.4,-1.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2017',24.4,-0.65,-2.59,3.19,-0.16,-4.77,13.1,-0.3,-0.79,-0.19,-32.5,-3.24,-0.86,-1.19,-0.55,-85.3,-4.89,-2.32,-3.31,-1.53,-34.5,-19.8,-15.3,-8.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2016',25,-4.94,-16.5,3.35,-0.54,-13.9,13.4,0.4,-0.6,-0.39,-190,-2.39,-1.7,-0.64,-0.49,-318,-2.57,-2.06,-1.78,-1.36,-14.6,-11.5,-7.15,-5.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2015',30,-1.18,-3.78,3.89,-0.41,-9.58,13,-0.83,-0.21,-0.32,-279,-0.69,-1.06,-0.15,-0.45,-153,-0.51,-1.45,-0.42,-1.22,-3.12,-8.61,-1.56,-4.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2014',31.1,0.32,1.04,4.3,-0.21,-4.7,13.8,-0.83,0.12,-0.35,-75.1,0.37,-1.13,0.29,-0.33,-53.2,0.93,-1.08,0.8,-0.91,5.49,-6.49,2.85,-3.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2719','2013',30.8,3.92,14.6,4.51,0.58,14.6,14.6,0.01,0.46,0.4,591,1.5,1.25,0.62,0.44,235,2.02,1.33,1.71,1.18,12,7.78,6.36,4.24);
