insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','24Q2',82.4,9.84,13.6,14,3.4,32,17,2.38,7.79,2.6,49.9,9.46,2.29,8.53,1.59,22.9,10.4,0.78,1.2,0.22,15.2,1.11,8.79,0.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2023',167,11.6,7.46,33.2,7.92,31.4,19.9,3.62,20.7,6.41,44.7,12.4,3.2,18.8,4.33,29.9,11.3,1.94,2.66,0.64,17.9,2.42,10.6,2.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2022',155,-4.16,-2.61,25.2,-4.14,-14.1,16.2,-2.17,14.3,-4.43,-23.6,9.23,-2.54,14.5,-0.82,-5.35,9.33,-0.27,2.02,-0.22,15.5,-2.99,8.53,-1.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2021',159,21,15.1,29.4,22.4,321,18.4,13.4,18.8,20.6,1109,11.8,13.1,15.3,18,675,9.6,11.5,2.24,2.72,18.5,22.4,9.71,11.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2020',139,-36.6,-20.9,6.97,-10.8,-60.7,5.03,-5.09,-1.86,-9.63,-124,-1.34,-5.78,-2.66,-8.54,-145,-1.92,-5.28,-0.48,-1.54,-3.89,-14.1,-1.75,-5.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2019',175,23.3,15.3,17.7,12.4,233,10.1,6.62,7.76,11.8,291,4.43,7.11,5.88,7,627,3.36,4.09,1.06,1.26,10.2,12.2,3.6,4.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2018',152,13,9.38,5.32,3.51,193,3.5,2.2,-4.06,3.18,43.9,-2.67,2.54,-1.12,6.02,84.4,-0.73,4.41,-0.2,0.69,-2,9.59,-0.67,3.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2017',139,-19,-12,1.82,-16.2,-89.9,1.31,-10.1,-7.24,-14.1,-206,-5.22,-9.55,-7.14,-12.2,-241,-5.15,-8.34,-0.89,-1.52,-11.6,-19.4,-4.11,-6.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2016',158,-3.14,-1.95,18,-6.71,-27.2,11.4,-3.95,6.84,-6.86,-50.1,4.33,-4.18,5.04,-5.47,-52,3.19,-3.44,0.63,-0.67,7.85,-11,2.82,-3.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2015',161,22.7,16.4,24.7,4.7,23.6,15.3,0.89,13.7,3.8,38.3,8.51,1.35,10.5,3.91,59.1,6.63,1.71,1.3,0.48,18.9,4.82,6.26,1.78);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2014',138,42.8,44.8,20,11,122,14.4,5.02,9.9,9.36,1723,7.16,6.59,6.61,9.49,329,4.93,7.83,0.82,1.18,14,20,4.48,6.46);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2013',95.5,-11,-10.3,9,-0.37,-3.93,9.42,0.63,0.54,-2.02,-78.8,0.57,-1.84,-2.88,-3.11,-1359,-2.9,-3.36,-0.36,-0.39,-5.95,-6.99,-1.99,-2.34);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2329','2012',107,-1.88,-1.73,9.37,1.06,12.8,8.8,1.13,2.57,2,354,2.41,1.89,0.23,5,105,0.46,4.54,0.03,0.74,1.04,11.4,0.35,3.34);
