insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','24Q2',56.7,-11.9,-17.3,5.43,0.11,2.04,9.58,1.82,2.31,0.04,1.7,4.07,0.76,2.08,0.76,57.2,3.67,1.74,2.74,1,17.3,5.8,6.23,3.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2023',134,-16.5,-11,12.3,-1.39,-10.2,9.23,0.09,6.01,-1.34,-18.3,4.5,-0.4,3.18,-2.6,-45,2.38,-1.47,4.18,-3.42,13.3,-12.8,3.92,-3.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2022',150,7.22,5.05,13.7,2.87,26.4,9.14,1.55,7.36,2.03,38,4.9,1.17,5.78,1.55,36.7,3.86,0.89,7.6,2.04,26.1,3.65,7.32,0.33);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2021',143,40.3,39.4,10.8,3.61,49.9,7.59,0.53,5.33,2.83,113,3.73,1.29,4.23,2.25,113,2.96,1.02,5.56,2.95,22.4,10.6,6.99,3.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2020',102,16.2,18.8,7.24,0.74,11.4,7.06,-0.47,2.5,0.63,33.3,2.44,0.27,1.99,0.71,55.2,1.94,0.45,2.61,0.93,11.8,3.94,3.94,1.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2019',86.3,0.67,0.78,6.5,-1.23,-15.9,7.53,-1.5,1.88,-1.27,-40.4,2.17,-1.5,1.28,-0.79,-38.3,1.49,-0.94,1.68,-1.05,7.87,-5.45,2.68,-2.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2018',85.6,23.2,37.3,7.73,2.26,41.3,9.03,0.26,3.15,1.34,74.3,3.68,0.78,2.07,0.5,32,2.42,-0.1,2.73,0.66,13.3,2.6,4.86,0.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2017',62.3,-18.2,-22.6,5.47,0.17,3.22,8.77,2.2,1.81,0.07,3.98,2.9,0.74,1.57,0.23,17,2.52,0.85,2.07,0.3,10.7,1.24,4.17,1.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2016',80.6,24.5,43.7,5.3,0.13,2.54,6.58,-2.64,1.74,-0.16,-8.39,2.15,-1.22,1.34,-0.05,-3.74,1.67,-0.82,1.77,-0.06,9.48,-0.84,3.13,-1.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2015',56.1,13.1,30.6,5.17,0.89,20.7,9.22,-0.76,1.9,0.56,41.8,3.38,0.27,1.4,0.33,30.4,2.49,0,1.83,0.42,10.3,1.88,4.17,-1.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2014',42.9,12.9,42.9,4.28,1.11,35.2,9.97,-0.57,1.34,0.9,210,3.11,1.68,1.07,0.67,166,2.49,1.15,1.41,0.88,8.45,5.15,5.21,2.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2013',30.1,4.81,19,3.17,-0.09,-2.68,10.5,-2.35,0.43,-0.25,-36.4,1.44,-1.25,0.4,-0.14,-26.2,1.34,-0.82,0.53,-0.19,3.3,-1.19,2.37,-0.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2012',25.3,0.35,1.41,3.26,-0.05,-1.4,12.9,-0.37,0.68,-0.24,-25.8,2.69,-0.98,0.55,-0.01,-1.32,2.16,-0.09,0.72,-0.01,4.49,-0.04,3.2,-0.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2011',24.9,-2.36,-8.64,3.3,-0.44,-11.7,13.3,-0.46,0.91,-0.54,-37,3.67,-1.65,0.55,-0.47,-46,2.25,-1.97,0.73,-0.61,4.54,-4.73,3.24,-3.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2010',27.3,5.19,23.5,3.74,0.57,18,13.7,-0.65,1.45,0.61,72.6,5.32,1.51,1.02,-0.07,-6.52,4.22,-0.94,1.34,-0.1,9.26,-0.19,6.95,-0.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2009',22.1,-3.04,-12.1,3.17,-0.26,-7.7,14.4,0.69,0.84,-0.18,-17.7,3.81,-0.26,1.09,0.25,29.5,5.16,1.66,1.44,0.36,9.46,2.1,7.47,2.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6227','2008',25.1,-2.39,-8.69,3.43,-0.2,-5.63,13.7,0.44,1.02,-0.42,-29.2,4.07,-1.17,0.84,-0.61,-42,3.49,-1.83,1.08,-0.85,7.35,-4.91,4.97,-2.41);
