insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','24Q2',10.1,1.27,14.5,5.36,0.74,16,53.3,0.68,0.94,0.37,64.1,9.3,2.81,0.64,0.24,60.2,6.36,1.82,0.75,0.28,6.8,2.68,3.95,1.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2023',18.8,-5.17,-21.5,9.74,-3.44,-26.1,51.8,-3.19,1.57,-2.57,-62.1,8.33,-8.92,0.77,-1.05,-57.7,4.1,-3.5,0.9,-1.23,3.94,-5.31,2.44,-3.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2022',24,4.97,26.2,13.2,4.06,44.6,55,7,4.14,2.49,150,17.3,8.56,1.82,0.78,74.7,7.6,2.11,2.13,0.81,9.26,2.68,6.03,2.57);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2021',19,3.33,21.2,9.12,1.17,14.7,48,-2.71,1.65,0.61,58.2,8.7,2.03,1.04,0.77,274,5.49,3.71,1.32,0.96,6.58,4.43,3.46,2.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2020',15.7,-0.05,-0.34,7.95,-0.5,-5.88,50.7,-2.98,1.04,-1.19,-53.3,6.66,-7.57,0.28,-1.33,-82.7,1.78,-8.47,0.36,-1.74,2.15,-9.76,1.12,-7.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2019',15.7,1.65,11.7,8.45,0.52,6.51,53.7,-2.63,2.24,0.11,5.36,14.2,-0.86,1.61,0.02,1.36,10.2,-1.05,2.1,0.01,11.9,-2.66,8.61,-1.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2018',14.1,1.96,16.2,7.93,0.99,14.2,56.3,-0.97,2.13,0.68,46.9,15.1,3.15,1.59,0.69,75.8,11.3,3.83,2.09,0.76,14.6,3.53,10.3,2.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2017',12.1,1.63,15.6,6.94,1.03,17.4,57.3,0.88,1.45,0.15,11.7,11.9,-0.42,0.91,0.01,0.91,7.47,-1.08,1.33,-0.12,11,-0.32,7.43,-0.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2016',10.5,-1.56,-12.9,5.92,-1.05,-15.1,56.4,-1.43,1.3,0.1,8.05,12.4,2.4,0.9,0.17,22.9,8.55,2.49,1.45,0.15,11.3,1.52,7.58,1.19);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2015',12.1,1.91,18.8,6.97,0.88,14.4,57.8,-2.22,1.2,0.56,86.3,9.96,3.61,0.73,0.25,51.2,6.06,1.38,1.3,0.29,9.83,2.88,6.39,1.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2014',10.1,1.57,18.4,6.09,1.44,31,60,5.81,0.64,0.51,364,6.35,4.73,0.48,0.3,166,4.68,2.85,1.01,0.54,6.94,3.56,4.5,2.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2013',8.57,1.82,27,4.65,1.17,33.6,54.2,2.68,0.14,0.59,131,1.62,8.36,0.18,0.57,147,1.83,9.49,0.47,1.6,3.39,21.7,1.63,7.19);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1760','2012',6.75,0.91,15.5,3.48,0.46,15.3,51.6,-0.09,-0.45,0.02,4.06,-6.74,1.38,-0.38,-0.02,-5.99,-7.66,0.21,-1.13,-0.06,-18.3,-2.97,-5.57,-0.44);
