insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','24Q2',19.9,3.59,22,6.79,0.57,9.16,34.1,-4.01,-2.25,-0.45,-25.2,-11.3,-0.29,9.8,0.5,5.39,49.2,-7.75,3.38,0.17,13.6,-0.67,1.6,-0.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2023',34.7,-5.28,-13.2,12.9,-4.78,-27.1,37,-7.06,-3.98,-6.46,-261,-11.5,-17.7,18.5,7.07,61.8,53.3,24.7,6.39,2.44,13.5,4.45,1.65,0.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2022',40,1.1,2.83,17.6,-0.53,-2.94,44.1,-2.62,2.48,-2.14,-46.3,6.19,-5.67,11.5,2.85,33.1,28.6,6.51,3.95,0.98,9.08,1.98,1.09,0.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2021',38.9,0.49,1.28,18.2,0.58,3.32,46.7,0.92,4.62,-0.11,-2.4,11.9,-0.45,8.6,-2.1,-19.6,22.1,-5.74,2.97,-1.26,7.11,-3.22,0.88,-0.37);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2020',38.4,9.22,31.6,17.6,4.24,31.8,45.8,0.07,4.73,3.3,231,12.3,7.42,10.7,-0.66,-5.78,27.8,-11,4.23,-0.66,10.3,-2.97,1.25,-0.29);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2019',29.2,-6.28,-17.7,13.4,-2.67,-16.7,45.7,0.56,1.43,-2.73,-65.6,4.9,-6.82,11.4,1.36,13.6,38.9,10.7,4.89,0.58,13.3,0.55,1.54,0.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2018',35.5,6.28,21.5,16,2.05,14.7,45.1,-2.7,4.16,0.39,10.5,11.7,-1.17,10,1.27,14.5,28.2,-1.72,4.31,0.55,12.7,0.83,1.53,0.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2017',29.2,-0.12,-0.42,14,-0.09,-0.66,47.8,-0.12,3.76,-0.22,-5.47,12.9,-0.69,8.73,0.38,4.5,29.9,1.41,3.76,0.16,11.9,-0.05,1.46,0.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2016',29.3,0.03,0.12,14.1,-0.15,-1.07,48,-0.58,3.98,-0.1,-2.4,13.6,-0.35,8.36,0.59,7.54,28.5,1.97,3.6,0.25,12,1.05,1.4,-0.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2015',29.3,6.56,28.8,14.2,2.61,22.5,48.5,-2.5,4.08,1.8,79,13.9,3.9,7.77,-0.94,-10.8,26.5,-11.8,3.35,-0.4,10.9,-1.13,1.64,-0.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6023','2014',22.7,-1.23,-5.12,11.6,-0.81,-6.54,51,-0.78,2.28,0.02,0.83,10,0.59,8.71,2.17,33.2,38.3,11,3.75,0.93,12.1,2.46,2.33,0.61);
