insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','24Q2',2.69,-10.7,-80,-0.54,-2.47,-128,-20.2,-34.6,-2.35,-2.36,-22921,-87.4,-87.5,-0.92,-2.05,-182,-58.9,-62.5,-0.41,-0.91,-14.2,-18.1,-10.6,-13.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2023',21.5,-0.76,-3.44,2.51,0.91,57,11.7,4.5,-2.86,-0.39,-15.9,-13.3,-2.22,-0.29,-1.39,-126,-8.87,-7.22,-0.13,-0.62,-7.93,-6.22,-5.91,-4.91);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2022',22.2,6.37,40.2,1.6,3.98,167,7.2,22.2,-2.47,6.32,71.9,-11.1,44.3,1.1,9.82,113,-1.65,58,0.49,4.73,-1.71,51.4,-1,23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2021',15.8,-6.09,-27.8,-2.38,-4.63,-206,-15,-25.3,-8.79,-8.74,-16968,-55.5,-55.2,-8.72,-8.75,-29708,-59.7,-59.4,-4.24,-4.25,-53.2,-52.9,-24,-23.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2020',21.9,-1.35,-5.81,2.25,3.45,289,10.3,15.4,-0.05,3.24,98.4,-0.23,13.9,0.03,4.87,101,-0.24,20.5,0.01,2.43,-0.3,23.2,-0.13,10.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2019',23.3,-3.98,-14.6,-1.2,6.82,85.1,-5.14,24.3,-3.3,7.95,70.7,-14.2,27.1,-4.84,13.6,73.8,-20.8,46.8,-2.42,2.75,-23.5,32.6,-10.5,19.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2018',27.3,-32.4,-54.3,-8.02,-6.26,-356,-29.4,-26.5,-11.2,-6.64,-144,-41.2,-33.5,-18.4,-8.92,-93.7,-67.6,-51.7,-5.17,-2.5,-56,-36.1,-29.8,-17.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2017',59.7,-13.8,-18.7,-1.76,-3.02,-240,-2.95,-4.66,-4.6,-1.65,-56.1,-7.71,-3.7,-9.52,-6.58,-224,-16,-12,-2.67,-1.82,-19.9,-14.4,-12.7,-8.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2016',73.4,-4.82,-6.16,1.26,-5.02,-80,1.71,-6.31,-2.95,-5.8,-203,-4.01,-7.66,-2.94,-6.27,-188,-4,-8.26,-0.85,-1.95,-5.52,-12.3,-3.76,-8.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2015',78.3,12.7,19.4,6.28,1.79,40,8.03,1.18,2.86,1.72,152,3.65,1.92,3.33,1.58,90.2,4.26,1.59,1.1,0.44,6.79,2.33,4.39,1.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4934','2014',65.5,14.1,27.3,4.49,0.18,4.09,6.85,-1.53,1.14,-1.3,-53.4,1.73,-3,1.75,-0.43,-19.8,2.67,-1.57,0.66,-0.38,4.47,-2.79,2.5,-0.7);
