insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','24Q2',3.79,-3.83,-50.3,1.61,-1.15,-41.7,42.4,6.23,-0.76,-0.65,-634,-19.9,-18.6,-0.35,-0.55,-280,-9.26,-11.8,-0.18,-0.28,-2.75,-4.21,-2.05,-2.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2023',15,0.73,5.16,4.99,0.77,18.1,33.4,3.65,-0.8,1.13,58.5,-5.36,8.23,-0.69,-1.76,-165,-4.64,-12.1,-0.37,-0.93,-2.62,-6.57,-1.72,-4.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2022',14.2,1,7.58,4.23,-2.17,-33.9,29.7,-18.6,-1.93,-2.29,-650,-13.6,-16.3,1.06,0.09,8.84,7.48,0.09,0.56,0,3.95,0.22,2.51,-0.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2021',13.2,2.87,27.7,6.4,4.16,186,48.4,26.8,0.35,3.94,110,2.66,37.3,0.98,3.64,137,7.39,41.5,0.56,2.42,3.73,16.1,2.74,12.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2020',10.4,-3.28,-24,2.24,-1.3,-36.7,21.6,-4.32,-3.59,-1.12,-45.6,-34.6,-16.6,-2.66,-6.1,-178,-34.1,-57.4,-1.86,-3.14,-12.4,-22.1,-9.38,-16.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2019',13.6,-1.36,-9.06,3.53,1.07,43.5,25.9,9.49,-2.46,1.41,36.4,-18.1,7.76,3.44,5.77,247,23.3,38.8,1.28,1.89,9.74,16.5,7.41,12.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2018',15,-5.32,-26.2,2.46,-0.39,-13.7,16.4,2.37,-3.87,1.2,23.7,-25.8,-0.84,-2.34,2.25,49.1,-15.6,7.01,-0.61,0.6,-6.77,5.64,-5.35,4.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2017',20.3,-9.38,-31.6,2.85,-2.93,-50.7,14,-5.43,-5.07,-1.16,-29.5,-25,-11.8,-4.59,-2.88,-168,-22.6,-16.8,-1.21,-0.76,-12.4,-8.19,-9.44,-6.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2016',29.7,-5.82,-16.4,5.78,-1.8,-23.7,19.5,-1.87,-3.92,1.14,22.5,-13.2,1.04,-1.71,2.14,55.5,-5.76,5.07,-0.45,0.56,-4.21,4.27,-3.11,3.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2015',35.5,2.66,8.08,7.58,-1.71,-18.4,21.3,-6.92,-5.06,-3.16,-167,-14.2,-8.47,-3.85,-4.14,-1422,-10.8,-11.7,-1.01,-1.09,-8.48,-9.11,-6.25,-6.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1417','2014',32.9,-0.29,-0.88,9.29,0.39,4.44,28.3,1.44,-1.89,-0.7,-59.2,-5.77,-2.18,0.29,0.12,75,0.89,0.38,0.08,0.04,0.63,0.26,0.47,0.19);
