insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','24Q2',0.64,0.19,43.7,-0.04,0.15,80.7,-5.51,35.5,-0.22,0.15,40.2,-33.9,47.6,-0.22,0.22,50.1,-40.3,68.5,-0.41,0.41,-536,-417,-5.83,3.99);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2023',1.12,-0.38,-25.1,-0.38,0.07,15.1,-33.8,-3.99,-0.76,-0.09,-13.1,-68,-23,-0.91,-1.08,-627,-86.5,-95.7,-1.68,-2,-163,-178,-10.2,-11.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2022',1.5,-0.01,-0.38,-0.45,-0.26,-143,-29.8,-17.6,-0.67,-0.19,-38.2,-45,-12.6,0.17,0.83,126,9.21,56.8,0.32,1.55,15.3,77.8,1.47,9.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2021',1.5,0.22,17.2,-0.18,0.5,73.1,-12.2,41.1,-0.49,0.81,62.5,-32.4,68.9,-0.66,0.76,53.5,-47.6,67.3,-1.23,1.41,-62.5,3.07,-8.03,7.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2020',1.28,-0.5,-28.2,-0.68,-0.46,-213,-53.3,-41.1,-1.3,-0.37,-39.4,-101,-49.1,-1.43,-0.34,-31,-115,-52,-2.64,-0.62,-65.6,-32.8,-15.5,-4.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2019',1.79,-0.58,-24.6,-0.22,0.31,58.3,-12.2,9.89,-0.93,0.15,13.5,-52.2,-6.72,-1.09,0.15,12.1,-62.9,-10.7,-2.02,0.27,-32.7,-5.15,-11,0.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2018',2.37,-0.09,-3.83,-0.52,-0.97,-218,-22.1,-40.1,-1.08,-1.04,-3032,-45.5,-44.1,-1.24,-1.03,-497,-52.2,-43.8,-2.29,-1.89,-27.6,-23.2,-11.7,-9.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2017',2.46,0.69,38.9,0.44,0.51,724,18,22,-0.03,0.51,93.7,-1.4,29.2,-0.21,0.52,71.5,-8.42,32.7,-0.4,1.22,-4.37,11.7,-2.03,5.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2016',1.77,-0.39,-18.1,-0.07,-0.19,-160,-4,-9.49,-0.54,-0.12,-28.8,-30.6,-11.1,-0.73,-0.19,-34.8,-41.1,-16.1,-1.62,-0.33,-16.1,-5.13,-7.38,-2.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2015',2.17,0.13,6.34,0.12,-0.07,-35.5,5.49,-3.57,-0.42,0.18,30.2,-19.4,10.2,-0.54,-0.12,-27.2,-25,-4.1,-1.29,-0.28,-11,-3.12,-5.32,-1.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1585','2014',2.04,-0.09,-4.2,0.18,-0.41,-69.2,9.06,-19.1,-0.6,-0.64,-1813,-29.6,-31.3,-0.43,-0.36,-535,-20.9,-17.7,-1.01,-0.85,-7.84,-6.66,-3.88,-3.29);
