insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','24Q2',38.1,-2.45,-6.04,8.17,-0.93,-10.2,21.4,-1,2.94,-1.26,-30.1,7.71,-2.65,3.72,0.82,28.1,11.4,2.25,3.32,0.71,20.6,1.02,11,1.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2023',81.3,17.6,27.6,18.7,5.08,37.3,23,1.62,8.48,3.67,76.5,10.4,2.89,6.06,2.37,64.3,9.19,1.23,5.41,2.13,18.6,4.95,9.25,2.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2022',63.8,-19.2,-23.1,13.6,-2.15,-13.6,21.4,2.36,4.8,0.31,6.95,7.54,2.12,3.69,0.72,24.3,7.96,3.34,3.28,0.65,13.7,3.1,6.43,2.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2021',82.9,-9.4,-10.2,15.8,-1.18,-6.97,19,0.66,4.49,-1.56,-25.8,5.42,-1.14,2.97,-1.69,-36.3,4.61,-1.45,2.63,-1.58,10.6,-4.9,4.4,-1.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2020',92.3,15.4,20.1,17,4.71,38.4,18.4,2.44,6.05,2.88,91,6.55,2.43,4.66,1.85,66,6.06,1.41,4.21,1.71,15.5,5.61,6.32,2.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2019',76.9,2.57,3.45,12.3,2.52,25.9,15.9,2.84,3.17,-1.76,-35.8,4.12,-2.51,2.81,-1.38,-33,4.65,-1.55,2.5,-1.2,9.84,-3.38,4.3,-1.46);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2018',74.3,2.71,3.79,9.74,-2.66,-21.5,13.1,-4.22,4.93,1,25.6,6.63,1.15,4.19,1.76,72.2,6.2,2.04,3.7,1.55,13.2,4.26,5.76,1.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2017',71.6,12.3,20.7,12.4,0.47,3.97,17.3,-2.79,3.93,-1.3,-24.9,5.48,-3.33,2.43,-1.6,-39.6,4.16,-3.46,2.15,-1.66,8.96,-8.34,4.04,-4.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2016',59.3,23,63.1,11.9,4.54,61.4,20.1,-0.21,5.23,2.87,122,8.81,2.34,4.03,1.32,48.8,7.63,0.27,3.81,1.19,17.3,2.98,8.54,0.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2015',36.4,2.08,6.07,7.39,-0.01,-0.12,20.3,-1.26,2.35,-0.13,-5.36,6.47,-0.78,2.71,0.58,27,7.36,1.22,2.62,0.56,14.3,2.26,8.4,0.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3032','2014',34.3,10.5,44,7.4,2.89,64,21.6,2.62,2.49,2.24,928,7.25,6.23,2.13,1.63,326,6.14,4.48,2.06,1.58,12.1,9.58,7.72,6.12);
