insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','24Q2',3.72,1.35,56.8,1.09,0.31,39.3,29.3,-3.68,0.13,0.09,243,3.49,1.89,0.87,0.71,435,26.2,15.5,1.97,1.6,30.7,21.8,20,13.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2023',6.2,1.7,37.8,1.89,0.62,48.9,30.4,2.27,0.26,0.11,71.3,4.23,0.83,0.4,0.39,3706,9.56,7.63,0.92,0.9,10,8.5,7.17,6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2022',4.5,-2.44,-35.2,1.27,-0.69,-35.3,28.1,-0.07,0.15,-0.56,-78.4,3.4,-6.82,0.01,-0.49,-97.9,1.94,-7.87,0.02,-1.12,1.54,-11,1.17,-7.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2021',6.94,0.17,2.51,1.96,-0.07,-3.29,28.2,-1.69,0.71,-0.07,-8.85,10.2,-1.27,0.5,-0.24,-32.2,9.81,-3.47,1.14,-0.54,12.6,-6.88,8.52,-4.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2020',6.77,2.52,59.3,2.03,0.78,62.5,29.9,0.58,0.78,0.6,340,11.5,7.34,0.74,0.64,670,13.3,8.91,1.68,1.46,19.4,14.8,13.1,9.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2019',4.25,0.74,21.1,1.25,0.18,17.2,29.3,-0.97,0.18,0.37,190,4.16,9.77,0.1,0.19,199,4.37,7.9,0.22,0.44,4.61,7.75,3.4,5.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2018',3.51,0.25,7.66,1.06,0.18,20,30.3,3.11,-0.2,0.08,29.9,-5.61,3.01,-0.1,0.12,55,-3.53,6.2,-0.22,0.27,-3.14,4.44,-2.39,3.46);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2017',3.26,-0.82,-20.1,0.89,-0.07,-7.66,27.2,3.67,-0.28,0.18,38.4,-8.63,2.57,-0.22,0.15,40.5,-9.73,0.87,-0.49,0.33,-7.58,1.46,-5.85,1.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2016',4.08,0.04,0.94,0.96,-0.13,-12.3,23.5,-3.55,-0.46,0.04,8.67,-11.2,1.18,-0.36,-0.08,-26.6,-10.6,-2.89,-0.82,-0.17,-9.04,-3.23,-7.25,-2.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2015',4.04,-1.78,-30.5,1.1,-0.67,-37.9,27.1,-3.23,-0.5,-0.29,-142,-12.4,-8.82,-0.29,-0.16,-120,-7.7,-7.49,-0.65,-0.36,-5.81,-5.58,-4.8,-4.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2014',5.82,-1.71,-22.8,1.76,-0.61,-25.8,30.3,-1.24,-0.21,-0.38,-218,-3.55,-5.88,-0.13,-0.34,-160,-0.22,-3.96,-0.29,-0.78,-0.22,-5.36,-0.18,-4.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2013',7.54,-1.47,-16.3,2.38,0.03,1.27,31.6,5.47,0.18,0.37,189,2.33,4.52,0.22,0.61,154,3.74,7.21,0.49,1.39,5.14,10.8,3.94,8.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2012',9,0.73,8.77,2.35,-0.5,-17.6,26.1,-8.35,-0.2,-0.34,-235,-2.2,-3.96,-0.4,-0.32,-390,-3.47,-3.84,-0.9,-0.72,-5.67,-6.2,-4.34,-4.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2011',8.28,-1.45,-14.9,2.85,-0.97,-25.4,34.4,-4.85,0.15,-1.07,-88,1.77,-10.8,-0.08,-0.73,-113,0.37,-6.29,-0.18,-1.66,0.53,-10.9,0.42,-8.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2010',9.72,1.89,24.2,3.82,0.7,22.6,39.3,-0.51,1.22,0.48,63.8,12.6,3.04,0.64,0.01,1.2,6.66,-1.3,1.48,-0.03,11.5,-0.5,9.03,0.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3287','2009',7.83,0.54,7.46,3.12,0.72,30.1,39.8,6.93,0.74,0.51,214,9.51,6.26,0.64,0.34,118,7.96,3.96,1.51,0.79,12,5.55,8.78,4.44);
