insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','24Q2',9.86,-4.07,-29.2,9.68,-4.13,-29.9,98.1,-0.99,8.19,-4.33,-34.6,83,-6.83,8.36,-4.41,-34.5,84.8,-6.87,2.46,-2.23,27.9,-23.7,19.7,-18.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2023',11.5,11.1,2677,11.2,11,6126,97.5,54,8.37,10.5,493,72.9,588,8.76,11,490,76.3,620,3.18,4.02,17.6,22.6,13.3,16.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2022',0.41,-10.2,-96.1,0.18,-10,-98.2,43.5,-53.2,-2.13,-9.24,-130,-515,-583,-2.25,-9.28,-132,-543,-610,-0.84,-3.63,-4.98,-21.1,-3.23,-12.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2021',10.6,3.28,44.9,10.2,3.12,43.9,96.7,-0.69,7.11,2.48,53.5,67.2,3.76,7.03,2.34,49.9,66.5,2.19,2.79,0.81,16.2,3.67,9.46,1.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2020',7.3,3.96,119,7.11,3.9,122,97.4,1.27,4.63,3.51,313,63.5,29.9,4.69,3.33,246,64.3,23.6,1.98,1.41,12.5,8.68,8.2,5.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2019',3.34,-0.45,-11.9,3.21,-0.4,-11.2,96.1,0.77,1.12,-0.1,-8.34,33.6,1.31,1.36,-3.09,-69.5,40.7,-76.8,0.57,-1.44,3.81,-9.52,2.82,-6.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2018',3.79,0.21,5.87,3.61,0.2,6.01,95.3,0.13,1.22,0.05,4.14,32.3,-0.54,4.45,3.19,253,118,82.2,2.01,1.42,13.3,9.25,9.09,6.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2017',3.58,-0.38,-9.68,3.41,-0.44,-11.5,95.2,-1.99,1.17,-0.62,-34.4,32.8,-12.4,1.26,-0.66,-34.4,35.3,-13.3,0.59,-0.32,4.08,-2.41,2.65,-1.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2016',3.96,1.71,76,3.85,1.71,80.1,97.2,2.21,1.79,1.85,3020,45.2,47.9,1.92,1.64,588,48.5,36.1,0.91,0.78,6.5,5.51,4.54,3.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2015',2.25,0.83,58.2,2.14,0.82,61.9,95,2.2,-0.06,0.89,93.6,-2.72,64.3,0.28,0.6,187,12.4,35.1,0.13,0.28,0.98,2.11,0.72,1.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5864','2014',1.42,-0.53,-27,1.32,-0.52,-28.2,92.8,-1.59,-0.95,-0.5,-112,-67.1,-44,-0.32,1.32,80.4,-22.7,61.7,-0.15,0.62,-1.12,4.34,-0.83,3.18);
