insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','24Q2',1.47,-0.6,-28.8,0.32,-0.09,-22.4,21.5,1.78,-0.11,-0.15,-416,-7.74,-9.49,-0.08,-0.08,-2030,-5.68,-5.49,-0.16,-0.15,-3.38,-3.15,-2.03,-1.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2023',4.29,0.09,2.21,0.76,0.04,5.51,17.7,0.55,0.08,-0.01,-14.8,1.88,-0.37,0.01,-0.04,-78.7,0.27,-1.04,0.03,-0.11,0.32,-1.5,0.15,-0.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2022',4.19,0.75,21.9,0.72,0.36,98.7,17.2,6.63,0.09,0.32,141,2.25,8.91,0.06,0.28,125,1.32,7.85,0.14,0.72,1.82,9.21,0.69,3.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2021',3.44,0.23,7.23,0.36,0.03,9.52,10.5,0.22,-0.23,0.06,19.8,-6.66,2.24,-0.22,-0.03,-17.3,-6.54,-0.56,-0.58,-0.09,-7.4,-1.43,-2.81,-0.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2020',3.21,-0.05,-1.68,0.33,-0.1,-22.7,10.3,-2.8,-0.29,0.03,9.05,-8.9,0.72,-0.19,0.16,45,-5.98,4.71,-0.49,0.41,-5.96,4.08,-2.3,1.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2019',3.26,-1,-23.4,0.43,-0.28,-39.8,13.1,-3.56,-0.31,-0.28,-899,-9.62,-8.89,-0.35,-0.36,-2786,-10.7,-11,-0.9,-0.93,-10,-10.4,-4.06,-4.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2018',4.26,0.73,20.7,0.71,0.27,60.9,16.7,4.16,-0.03,0.3,90.6,-0.74,8.76,0.01,0.25,106,0.3,6.93,0.03,0.64,0.36,6.55,0.15,2.94);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2017',3.53,-0.52,-12.7,0.44,-0.31,-41.1,12.5,-6.01,-0.34,-0.08,-30.6,-9.49,-3.15,-0.23,-0.01,-5.33,-6.63,-1.14,-0.61,-0.04,-6.19,-0.71,-2.79,-0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2016',4.05,0.09,2.18,0.75,0.22,40.8,18.5,5.08,-0.26,0.03,9.61,-6.35,0.83,-0.22,0.06,22.4,-5.49,1.74,-0.57,0.17,-5.48,1.1,-2.74,0.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2015',3.96,-0.24,-5.82,0.53,-0.21,-28.3,13.5,-4.23,-0.28,-0.31,-1088,-7.17,-7.86,-0.29,-0.33,-760,-7.22,-8.25,-0.74,-0.85,-6.58,-7.58,-3.72,-4.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8092','2014',4.2,0.65,18.3,0.74,0.13,20.4,17.7,0.31,0.03,0.07,170,0.68,1.84,0.04,0.04,3312,1.03,0.99,0.11,0.11,1,0.97,0.58,0.57);
