insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','24Q2',42,1.73,4.29,8.37,0.15,1.84,19.9,-0.48,3.39,-0.13,-3.72,8.07,-0.67,4.06,0.31,8.18,11.6,0.07,2.61,0.08,9,0.01,5.47,-0.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2023',82.3,10.5,14.6,16.8,1.62,10.7,20.4,-0.7,7.03,0.96,15.9,8.54,0.1,7.47,0.79,11.9,11.2,0.28,4.8,0.3,8.7,0.87,5.34,0.37);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2022',71.9,6.14,9.34,15.1,1.4,10.2,21.1,0.17,6.07,0.12,1.95,8.44,-0.61,6.67,0.6,9.93,10.9,-0.06,4.5,0.2,7.84,0.36,4.97,0.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2021',65.7,-1.02,-1.53,13.7,0.66,5.06,20.9,1.31,5.95,0.66,12.5,9.05,1.13,6.07,0.35,6.21,11,0.97,4.3,0.24,7.48,0.13,4.96,0.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2020',66.8,2.18,3.38,13.1,0.7,5.7,19.6,0.43,5.29,0.65,14,7.93,0.74,5.72,0.57,11.1,10,0.39,4.06,0.04,7.35,0.02,4.82,0.33);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2019',64.6,1.12,1.77,12.4,0.37,3.08,19.1,0.24,4.64,0.26,5.92,7.19,0.28,5.15,0.63,14,9.64,0.99,4.02,0.49,7.33,0.63,4.49,0.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2018',63.5,2.5,4.1,12,-0.07,-0.59,18.9,-0.89,4.38,-0.14,-3.19,6.9,-0.52,4.52,0.53,13.2,8.64,0.92,3.53,0.41,6.7,0.93,3.79,0.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2017',61,-1.1,-1.78,12.1,0.1,0.8,19.8,0.51,4.53,0.73,19.3,7.42,1.31,3.99,0.09,2.44,7.73,0.04,3.12,0.03,5.77,-0.02,2.96,0.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2016',62.1,0.03,0.05,12,-0.35,-2.85,19.3,-0.58,3.79,0.31,9,6.12,0.5,3.9,0.11,2.79,7.69,0.15,3.09,-0.18,5.79,-0.04,2.94,-0.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2015',62,3.96,6.82,12.3,0.53,4.47,19.9,-0.45,3.48,0.05,1.36,5.61,-0.3,3.79,0.93,32.7,7.54,1.2,3.27,0.74,5.84,1.04,3.07,0.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4104','2014',58.1,0.66,1.14,11.8,0.24,2.03,20.3,0.18,3.43,0.35,11.3,5.92,0.54,2.86,-0.14,-4.75,6.34,0.65,2.53,-0.13,4.8,0.14,2.53,0.15);
