insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','24Q2',139,33.2,31.3,18.5,6.25,51.2,13.3,1.74,11.3,6.53,138,8.1,3.62,7.98,1.81,29.4,5.73,0.09,1.34,0.3,12.2,2.9,5.73,1.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2023',226,-31.6,-12.3,27.2,-7.5,-21.6,12,-1.43,13.7,-2.65,-16.2,6.04,-0.29,10.8,-3.04,-21.9,4.71,-0.83,1.83,-0.52,8.15,-2.99,4.02,-1.48);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2022',258,-55.6,-17.7,34.7,-1.32,-3.67,13.5,1.97,16.3,0.13,0.81,6.32,1.16,13.9,1.33,10.6,5.54,1.37,2.35,0.2,11.1,-1.35,5.5,-0.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2021',314,46.9,17.6,36.1,5.6,18.4,11.5,0.08,16.2,0.21,1.3,5.16,-0.83,12.6,4.13,48.9,4.17,0.86,2.15,0.46,12.5,1.79,5.61,1.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2020',267,46.8,21.3,30.5,1.45,5.01,11.4,-1.77,16,1.64,11.5,5.99,-0.53,8.43,-1.96,-18.8,3.31,-1.51,1.69,-0.66,10.7,-5.41,4.16,-1.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2019',220,11,5.26,29,6.53,29,13.2,2.43,14.3,6.88,92.4,6.52,2.95,10.4,6.5,167,4.83,2.85,2.35,1.37,16.1,7.64,5.16,3.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2018',209,51.3,32.6,22.5,5.98,36.3,10.8,0.29,7.45,3.21,75.8,3.56,0.88,3.89,2.74,239,1.98,1.23,0.98,0.65,8.47,5.74,2.13,1.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2017',158,-95.1,-37.6,16.5,9.47,135,10.5,7.69,4.23,10.8,164,2.69,5.3,1.15,6,124,0.74,2.62,0.33,1.56,2.74,13.5,0.61,2.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2016',253,-361,-58.8,7.03,3.54,102,2.78,2.21,-6.59,3.77,36.4,-2.61,-0.92,-4.85,5.71,54,-1.87,-0.15,-1.23,1.39,-10.8,8.32,-2.34,2.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2015',614,80.7,15.1,3.49,-6.15,-63.8,0.57,-1.24,-10.4,-6.47,-166,-1.69,-0.96,-10.6,-10.5,-10713,-1.72,-1.74,-2.62,-2.6,-19.1,-19.3,-4.99,-5.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1785','2014',533,191,55.7,9.63,-10.2,-51.5,1.81,-3.99,-3.89,-10.9,-155,-0.73,-2.78,-0.1,-4.03,-102,0.02,-1.17,-0.02,-0.99,0.13,-4.17,0.05,-1.93);
