insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','24Q2',124,12.1,10.9,40.9,9.85,31.8,33.1,5.25,23,7.82,51.5,18.6,4.99,22.1,9.65,77.3,18.3,7.05,3.74,1.63,17.4,7.08,12.6,5.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2023',239,25.8,12.1,71.3,21.1,41.9,29.9,6.27,37.4,18.1,93.6,15.7,6.6,30.2,8.68,40.4,12.8,3.2,5.1,1.46,12.1,3.39,8.89,2.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2022',213,29,15.8,50.3,15.4,44.2,23.6,4.65,19.3,13.9,256,9.09,6.13,21.5,14.6,213,9.57,6.1,3.64,2.48,8.75,5.9,5.99,4.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2021',184,10.6,6.1,34.9,0.44,1.29,19,-0.9,5.43,0.04,0.65,2.95,-0.16,6.88,-1.32,-16.1,3.47,-0.82,1.16,-0.23,2.86,-0.44,1.82,-0.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2020',173,-42.9,-19.9,34.4,-19.6,-36.3,19.9,-5.12,5.4,-16.2,-75.1,3.12,-6.9,8.2,-11.6,-58.7,4.29,-4.3,1.39,-1.97,3.29,-5.02,2.04,-2.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2019',216,-13.9,-6.05,54,1.41,2.68,25,2.13,21.6,3.15,17,10,1.97,19.8,0.58,3.03,8.58,0.19,3.36,0.1,8.32,-0.62,4.99,-0.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2018',230,-14.5,-5.91,52.6,-6.64,-11.2,22.9,-1.36,18.5,-6.5,-26,8.04,-2.18,19.3,-4.15,-17.7,8.4,-1.4,3.26,-0.7,8.94,-2.61,5.16,-1.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2017',245,2.72,1.12,59.3,-1.79,-2.93,24.2,-1.01,25,-2.98,-10.6,10.2,-1.35,23.4,-0.74,-3.07,9.8,-0.45,3.96,-0.12,11.5,-1.07,6.46,-0.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2016',242,17.3,7.68,61,9.23,17.8,25.2,2.17,28,9.43,50.9,11.6,3.31,24.2,7.2,42.5,10.2,2.54,4.08,1.21,12.6,3.29,6.82,1.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2015',225,13.1,6.22,51.8,4.52,9.57,23.1,0.7,18.5,7.66,70.3,8.26,3.11,17,7.86,86.3,7.71,3.2,2.87,1.33,9.33,4.01,4.89,1.99);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1319','2014',211,15.3,7.78,47.3,2.07,4.58,22.4,-0.68,10.9,-3.03,-21.8,5.15,-1.95,9.1,-4.37,-32.4,4.51,-2.62,1.54,-0.74,5.32,-2.85,2.89,-1.77);
