insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','24Q2',3.86,-0.32,-7.68,1.58,0.12,7.91,41,5.92,0.35,-0.02,-5.1,9.09,0.25,0.24,-0.05,-17.6,6.27,-0.25,0.75,-0.16,7.18,-1.27,3.38,-0.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2023',8.22,0.48,6.21,3.03,1.09,56.4,36.8,11.8,0.7,1.02,320,8.57,12.7,0.54,0.53,4181,6.27,6.27,1.68,1.64,7.78,7.78,3.59,3.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2022',7.74,0.98,14.5,1.94,0.16,9.25,25,-1.21,-0.32,-0.67,-192,-4.15,-9.3,0.01,-0.3,-96,0,-4.88,0.04,-1.07,0,-5.37,0,-2.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2021',6.76,1.3,23.9,1.77,0.21,13.3,26.2,-2.46,0.35,0.09,33,5.15,0.35,0.32,0.13,67,4.88,1.37,1.11,0.44,5.37,2,2.84,0.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2020',5.45,-1.63,-23,1.56,-0.35,-18.3,28.7,1.63,0.26,-0.28,-51.9,4.8,-2.89,0.19,-0.26,-58.2,3.51,-2.88,0.67,-0.94,3.37,-4.59,1.89,-2.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2019',7.08,1.01,16.6,1.92,0.07,3.67,27.1,-3.39,0.54,0.11,26.4,7.68,0.59,0.45,-0.06,-11.2,6.39,-2.33,1.61,-0.19,7.96,-1.41,4.64,-1.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2018',6.07,0.05,0.87,1.85,-0.24,-11.3,30.5,-4.18,0.43,-0.42,-49.1,7.09,-6.98,0.51,-0.16,-23.7,8.72,-2.51,1.8,-0.56,9.37,-3.28,5.68,-2.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2017',6.01,3.01,100,2.08,1.4,206,34.6,12,0.85,1.4,252,14.1,32.6,0.67,1.16,234,11.2,27.8,2.36,4.12,12.6,22,8.22,14.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2016',3,-1.97,-39.6,0.68,-0.65,-49,22.7,-4.16,-0.56,-0.31,-124,-18.5,-13.5,-0.5,-0.39,-352,-16.6,-14.4,-1.76,-1.37,-9.31,-7.52,-6.67,-5.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2015',4.97,-2.65,-34.8,1.33,-1.7,-56,26.8,-12.9,-0.25,-1.59,-118,-4.99,-22.6,-0.11,-1.4,-109,-2.21,-19.2,-0.39,-6.01,-1.79,-26.2,-1.23,-14.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4542','2014',7.63,-0.02,-0.26,3.03,0.39,14.9,39.7,5.24,1.34,0.25,22.6,17.6,3.28,1.29,0.24,23.1,17,3.21,5.62,0.69,24.4,-3.55,13.7,0.57);
