insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','24Q2',475,-5.65,-1.17,97.1,13.2,15.8,20.4,3,48.4,10.2,26.6,10.2,2.24,42.3,9.59,29.3,10.5,2.23,5.82,1.27,21.1,1.98,10.4,1.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2023',983,-174,-15.1,190,-15.5,-7.52,19.4,1.58,94.1,-10.1,-9.69,9.57,0.57,74.6,1.44,1.97,9.15,1.36,10.35,0.09,20.3,-2.68,10.1,-0.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2022',1157,82.7,7.7,206,16.7,8.85,17.8,0.19,104,18,21,9,0.99,73.2,11.7,18.9,7.79,0.74,10.26,1.55,23,0.96,10.6,1.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2021',1075,124,13,189,11.3,6.34,17.6,-1.11,86.1,9.5,12.4,8.01,-0.04,61.5,6.88,12.6,7.05,0.14,8.71,0.91,22,1.7,9.51,0.57);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2020',951,25.3,2.73,178,14.9,9.18,18.7,1.1,76.6,13.9,22.2,8.06,1.29,54.7,-3.72,-6.37,6.91,-0.44,7.8,-0.65,20.3,-2.3,8.94,-0.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2019',926,52.9,6.06,163,36.6,29,17.6,3.13,62.7,16.2,34.8,6.77,1.45,58.4,22.5,62.6,7.35,2.79,8.45,3.23,22.6,8.55,9.69,3.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2018',873,91,11.6,126,-8.38,-6.23,14.5,-2.76,46.5,0.8,1.76,5.33,-0.52,35.9,-4.31,-10.7,4.56,-1.67,5.22,-0.7,14.1,-3.06,5.83,-1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2017',782,11.4,1.48,135,-0.63,-0.47,17.2,-0.34,45.7,-4.59,-9.12,5.85,-0.68,40.2,4.9,13.9,6.23,0.64,5.92,0.68,17.2,1.38,7.4,0.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2016',770,-36.5,-4.52,135,12.7,10.3,17.6,2.36,50.3,4.23,9.18,6.53,0.82,35.3,-2.3,-6.13,5.59,0.15,5.24,-0.42,15.8,-1.14,6.99,-0.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2015',807,5.53,0.69,123,-2.94,-2.35,15.2,-0.47,46.1,-0.76,-1.63,5.71,-0.13,37.6,-3.19,-7.83,5.45,-0.37,5.66,-0.56,16.9,-1.66,7.58,-1.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2385','2014',801,55.7,7.47,125,11.1,9.68,15.7,0.31,46.8,4.29,10.1,5.84,0.14,40.8,2.99,7.9,5.81,0.27,6.22,0.39,18.6,-0.62,8.63,0.11);
