insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','24Q2',1.76,-0.23,-11.4,-0.19,-0.1,-109,-10.6,-6.12,-0.33,-0.1,-46.6,-18.5,-7.31,-0.16,-0.2,-475,-8.82,-10.9,-0.3,-0.38,-5.04,-6.27,-3.43,-4.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2023',4.1,-1.61,-28.2,-0.21,-0.45,-185,-5.04,-9.29,-0.49,-0.44,-979,-11.9,-11.1,-0.2,-0.41,-198,-4.93,-8.54,-0.39,-0.79,-3.12,-6.34,-2.29,-4.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2022',5.7,0.77,15.6,0.24,-0.22,-47.7,4.25,-5.14,-0.05,-0.26,-121,-0.79,-5.13,0.21,0.03,20.2,3.61,0.14,0.4,0.07,3.22,0.27,2.4,0.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2021',4.93,1.24,33.5,0.46,0.59,472,9.39,12.8,0.21,0.59,157,4.34,14.5,0.17,0.66,135,3.47,16.7,0.33,1.27,2.95,11.1,2.09,7.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2020',3.69,-2.56,-40.9,-0.12,-0.13,-7333,-3.37,-3.4,-0.38,-0.08,-27.9,-10.2,-5.47,-0.49,-0.37,-309,-13.2,-11.3,-0.94,-0.71,-8.1,-6.28,-5.79,-4.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2019',6.25,-1.62,-20.6,0,-0.21,-99.2,0.03,-2.68,-0.29,-0.18,-158,-4.69,-3.25,-0.12,-0.08,-168,-1.91,-1.35,-0.23,-0.14,-1.82,-1.1,-1.32,-0.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2018',7.87,0.79,11.2,0.21,-0.04,-14.4,2.7,-0.81,-0.11,-0.06,-124,-1.44,-0.73,-0.04,-0.03,-151,-0.57,-0.32,-0.09,-0.06,-0.72,-0.41,-0.52,-0.29);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2017',7.07,0.5,7.65,0.25,0.02,6.91,3.51,-0.02,-0.05,0.01,18.7,-0.72,0.23,-0.02,-0.11,-119,-0.25,-1.7,-0.03,-0.21,-0.31,-1.96,-0.23,-1.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2016',6.57,-1.08,-14.1,0.23,0.1,80,3.54,1.85,-0.06,0.1,62.4,-0.95,1.21,0.1,0.08,654,1.45,1.28,0.18,0.16,1.65,1.43,1.32,1.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2015',7.65,-0.54,-6.58,0.13,0.16,507,1.69,2.07,-0.17,0.16,48.4,-2.16,1.75,0.01,0.18,107,0.17,2.25,0.02,0.35,0.22,3.2,0.18,2.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4406','2014',8.19,-0.2,-2.41,-0.03,0.01,19.6,-0.39,0.08,-0.32,0.02,5.05,-3.91,0.11,-0.17,0.05,23.7,-2.08,0.58,-0.33,0.1,-2.98,0.82,-2.33,0.55);
