insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','24Q2',9.96,3.61,56.7,3.68,1.38,59.8,37,0.71,1.41,0.94,198,14.2,6.74,1.62,1.17,261,16.2,9.19,1.98,1.43,23.4,15.5,12.3,7.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2023',23.3,13.1,128,10.2,6.31,161,44,5.54,5.67,5.37,1809,24.4,21.5,4.08,3.46,555,17.5,11.5,5,4.24,31.5,25.8,18.3,15.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2022',10.2,-1.55,-13.2,3.92,-0.43,-9.83,38.4,1.43,0.3,-0.82,-73.5,2.91,-6.62,0.62,0.15,31.3,6.06,2.07,0.76,0.18,5.65,1.28,3.09,0.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2021',11.7,1.15,10.9,4.35,0.23,5.55,37,-1.86,1.12,0.46,69.6,9.53,3.3,0.47,0.3,180,3.98,2.39,0.58,0.37,4.36,2.83,2.19,1.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2020',10.6,-2.11,-16.6,4.12,-0.64,-13.4,38.9,1.44,0.66,-0.16,-19.1,6.23,-0.19,0.17,-0.51,-75,1.59,-3.83,0.21,-0.62,1.54,-4.7,0.77,-2.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2019',12.7,0.19,1.52,4.76,0.11,2.45,37.4,0.34,0.82,0.13,18.2,6.42,0.91,0.68,-0.16,-19.1,5.42,-1.23,0.83,-0.2,6.24,-1.65,2.95,-0.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2018',12.5,1.2,10.6,4.64,0.44,10.4,37.1,-0.07,0.69,0.19,37.9,5.52,1.09,0.84,0.83,12231,6.66,6.58,1.03,1.02,7.89,7.81,3.59,3.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2017',11.3,3.92,53.1,4.21,1.29,44.4,37.2,-2.21,0.5,0.82,257,4.43,8.75,0.01,0.29,102,0.07,3.88,0.01,0.36,0.08,2.8,0.04,1.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2016',7.39,-5.36,-42,2.91,-1.85,-38.8,39.4,2.09,-0.32,-1.6,-125,-4.32,-14.4,-0.28,-1.32,-127,-3.8,-11.9,-0.35,-1.73,-2.72,-13.8,-1.4,-6.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2015',12.8,1.24,10.8,4.76,1.42,42.5,37.3,8.31,1.28,0.85,195,10.1,6.28,1.04,0.49,88.1,8.13,3.34,1.38,0.56,11.1,4.28,4.75,2.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8045','2014',11.5,2.13,22.7,3.34,-0.29,-8.08,29,-9.7,0.44,0.04,9.75,3.78,-0.45,0.55,0.12,26.5,4.79,0.14,0.82,0.1,6.83,0.64,2.69,-0.03);
