insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','24Q2',3.88,-0.09,-2.36,1.05,0.07,7.57,27,2.49,0.04,0.05,308,0.95,1.4,0.49,0.04,7.91,12.6,1.22,0.45,0.03,7.14,0.75,4.56,0.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2023',7.83,-0.59,-7.04,2.07,-0.55,-21,26.4,-4.65,0.07,-0.49,-88.2,0.84,-5.79,0.63,-0.52,-45.1,7.86,-5.36,0.58,-0.47,4.36,-3.07,2.88,-1.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2022',8.42,-2.76,-24.7,2.61,-1.39,-34.8,31,-4.79,0.56,-1,-64.3,6.63,-7.34,1.15,-2.8,-70.9,13.2,-21.9,1.05,-2.56,7.43,-20.6,4.86,-12.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2021',11.2,1.72,18.2,4.01,0.6,17.7,35.8,-0.14,1.56,0.15,10.7,14,-0.95,3.94,2.59,192,35.1,20.9,3.61,2.38,28.1,17,17.7,10.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2020',9.47,1.65,21.1,3.41,1.08,46.4,36,6.22,1.41,1.05,295,14.9,10.3,1.35,0.64,90.3,14.3,5.19,1.23,0.61,11.1,5.15,7.04,3.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2019',7.81,-1.33,-14.5,2.33,0.03,1.37,29.8,4.66,0.36,0.26,259,4.57,3.48,0.71,-1.51,-68,9.08,-15.2,0.62,-1.27,5.92,-13.8,3.9,-7.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2018',9.14,0.07,0.74,2.29,-0.28,-10.9,25.1,-3.26,0.1,-0.35,-78,1.09,-3.89,2.22,2.1,1845,24.3,23,1.89,1.79,19.8,18.6,11.4,10.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2017',9.08,0.91,11.2,2.57,0.72,39.1,28.4,5.68,0.45,0.64,339,4.98,7.3,0.11,0.6,124,1.27,7.2,0.1,0.51,1.11,5.64,0.61,3.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2016',8.16,0.32,4.11,1.85,0.43,30.7,22.7,4.61,-0.19,0.75,79.9,-2.31,9.68,-0.48,0.43,47.4,-5.93,5.77,-0.41,0.37,-4.53,3.35,-2.8,2.19);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2015',7.84,-1.65,-17.4,1.42,-0.02,-1.53,18.1,2.9,-0.94,0.11,10.8,-12,-0.88,-0.92,0.22,19.5,-11.7,0.38,-0.78,0.21,-7.87,1.14,-4.99,0.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8111','2014',9.48,-1.07,-10.1,1.44,-0.1,-6.38,15.2,0.61,-1.05,0.24,18.6,-11.1,1.16,-1.14,-0.02,-1.66,-12.1,-0.94,-0.99,-0.22,-9.01,-0.46,-5.64,-0.29);
