insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','24Q2',83.3,14.4,20.9,10.8,2.88,36.2,13,1.46,5.4,1.69,45.5,6.48,1.09,3.95,0.66,20,5.55,0.74,2.56,0.41,19.3,2.35,10.6,2.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2023',139,11.9,9.32,16.4,1.55,10.4,11.8,0.12,7.91,0.81,11.5,5.68,0.11,6.92,0.78,12.7,5.04,0.23,4.5,0.47,17,1.5,8.76,0.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2022',127,-1.44,-1.12,14.9,1.93,14.9,11.7,1.63,7.1,0.84,13.4,5.57,0.71,6.14,0.76,14.2,4.81,0.65,4.03,-0.21,15.5,-0.76,7.81,-0.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2021',129,30.4,31,13,2.49,23.8,10.1,-0.58,6.26,1.22,24.1,4.86,-0.27,5.37,0.96,21.7,4.16,-0.32,4.24,0.69,16.2,-1.07,8.16,-0.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2020',98.3,9.19,10.3,10.5,1.5,16.7,10.6,0.59,5.05,1.05,26.2,5.13,0.65,4.42,0.9,25.7,4.48,0.56,3.55,0.7,17.3,2.21,8.23,0.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2019',89.2,22.7,34.1,8.96,2.14,31.5,10.1,-0.2,4,1.19,42.5,4.48,0.26,3.51,0.98,38.9,3.92,0.12,2.85,0.79,15.1,3.35,7.26,0.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2018',66.5,6.8,11.4,6.82,0.93,15.9,10.3,0.4,2.81,0.46,19.6,4.22,0.29,2.53,0.57,29.1,3.79,0.53,2.06,0.45,11.7,2.24,6.29,0.78);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2017',59.7,0.35,0.59,5.88,0.09,1.56,9.86,0.09,2.35,-0.23,-9.08,3.93,-0.42,1.96,-0.28,-12.5,3.27,-0.53,1.61,-0.24,9.48,-2.01,5.51,-1.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2016',59.3,5.28,9.77,5.79,0.4,7.43,9.76,-0.21,2.58,0.51,24.6,4.35,0.52,2.24,0.41,22.6,3.8,0.44,1.85,0.2,11.5,0.53,6.74,1.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2015',54,4.34,8.73,5.39,1.02,23.4,9.98,1.19,2.07,0.75,56.4,3.83,1.17,1.83,0.71,63.4,3.36,1.12,1.65,0.47,11,2.86,5.49,1.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3029','2014',49.7,6.64,15.4,4.37,0.57,15.1,8.79,-0.02,1.32,0.47,55.1,2.67,0.68,1.12,0.29,35.8,2.24,0.33,1.18,0.31,8.1,1.96,3.51,0.46);
