insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','24Q2',16.5,2.12,14.8,2.88,0.22,8.34,17.5,-1.04,1.1,0.33,43.6,6.65,1.33,0.67,-0.13,-16.2,4.09,-1.51,0.7,-0.14,8.55,-2.31,4.45,-0.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2023',30,-9.12,-23.3,5.71,-1.52,-21.1,19,0.55,1.82,-1.12,-38,6.08,-1.44,1.29,-0.56,-30.2,4.29,-0.42,1.34,-0.58,8.52,-4.85,4.28,-2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2022',39.1,5.35,15.9,7.23,0.4,5.91,18.5,-1.74,2.94,0.58,24.5,7.52,0.52,1.84,0.53,40.9,4.71,0.84,1.92,0.51,13.4,3.01,6.28,1.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2021',33.7,6.56,24.2,6.83,1.1,19.2,20.2,-0.84,2.36,0.66,38.4,7,0.72,1.31,0.35,36.2,3.88,0.34,1.41,0.38,10.4,2.6,4.75,1.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2020',27.2,2.07,8.23,5.72,-0.03,-0.6,21.1,-1.87,1.71,-0.11,-6.04,6.28,-0.95,0.96,-0.4,-29.6,3.53,-1.9,1.03,-0.41,7.76,-3.51,3.73,-2.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2019',25.1,1.37,5.76,5.76,0.19,3.43,22.9,-0.52,1.82,0.2,12.4,7.23,0.43,1.36,0.12,9.45,5.43,0.18,1.44,0.14,11.3,0.81,5.81,0.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2018',23.7,2.8,13.4,5.57,0.47,9.14,23.5,-0.91,1.62,-0.04,-2.55,6.8,-1.11,1.25,0.16,14.5,5.25,0.05,1.3,0.15,10.5,1.04,5.79,0.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2017',20.9,1.86,9.78,5.1,0.56,12.3,24.4,0.55,1.66,0.43,34.9,7.92,1.48,1.09,0.03,3.14,5.2,-0.34,1.15,0.1,9.41,0.34,5.51,0.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2016',19.1,1.29,7.26,4.54,0.51,12.7,23.8,1.15,1.23,0.59,91.4,6.44,2.83,1.06,0.2,23.2,5.54,0.72,1.05,0.23,9.07,1.92,5.34,0.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2015',17.8,1.3,7.86,4.03,-0.06,-1.5,22.7,-2.15,0.64,-0.13,-16.3,3.61,-1.04,0.86,0.05,6.72,4.82,-0.05,0.82,0.07,7.15,0.32,4.49,-0.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2014',16.5,2.11,14.7,4.09,0.63,18.4,24.8,0.78,0.77,0.32,72.4,4.65,1.56,0.8,0.32,66.5,4.87,1.52,0.75,0.3,6.83,2.48,4.76,1.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3021','2013',14.4,-1.71,-10.6,3.46,-0.28,-7.6,24,0.79,0.44,-0.17,-27.5,3.09,-0.72,0.48,-0.17,-26.4,3.35,-0.72,0.45,-0.16,4.35,-1.89,3.05,-1.03);
