insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','24Q2',5.19,-1.5,-22.5,1.71,-0.52,-23.1,33,-0.29,0.28,-0.44,-61,5.4,-5.34,1.58,0.36,29.7,30.5,12.3,3.39,0.78,25.8,3.79,12.1,1.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2023',13.6,-2.51,-15.6,4.53,-0.82,-15.4,33.3,0.07,1.65,-0.91,-35.6,12.2,-3.77,2.57,0.74,40.2,18.9,7.53,5.52,1.58,21.8,5.16,10.8,2.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2022',16.1,3.98,32.8,5.36,1.57,41.6,33.3,2.07,2.56,1.43,126,15.9,6.58,1.84,-0.5,-21.3,11.4,-7.86,3.94,-1.07,16.7,-6.37,8.77,-4.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2021',12.1,1.97,19.4,3.78,0.32,9.27,31.2,-2.89,1.13,-0.08,-6.51,9.35,-2.59,2.33,0.89,61.3,19.3,5,5.01,1.91,23.1,8.05,13.1,4.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2020',10.2,0.06,0.57,3.46,-0.09,-2.48,34.1,-1.06,1.21,0.17,16.5,11.9,1.63,1.45,-0.56,-27.8,14.3,-5.61,3.1,-1.18,15,-6.23,8.9,-3.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2019',10.1,-3.19,-24,3.55,-0.45,-11.3,35.2,5.04,1.04,-0.36,-25.8,10.3,-0.25,2.01,1.11,123,19.9,13.1,4.28,2.36,21.2,11.4,12.4,6.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2018',13.3,-0.74,-5.27,4,-0.2,-4.68,30.1,0.19,1.4,-0.21,-12.9,10.6,-0.92,0.9,-0.31,-25.5,6.77,-1.84,1.92,-0.66,9.8,-2.89,5.62,-1.78);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2017',14,-0.5,-3.45,4.2,-0.21,-4.81,29.9,-0.43,1.61,0.05,3.45,11.5,0.77,1.21,-0.36,-23.1,8.62,-2.2,2.58,-0.77,12.7,-3.73,7.4,-2.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2016',14.5,0.58,4.14,4.41,-0.02,-0.36,30.4,-1.37,1.56,-0.14,-8.24,10.7,-1.44,1.57,0.6,62.6,10.8,3.89,3.35,1.29,16.4,6.38,9.75,3.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2015',14,0,0.02,4.43,0.65,17.2,31.7,4.65,1.7,0.68,66.7,12.2,4.86,0.97,-0.58,-37.7,6.92,-4.19,2.06,-1.25,10,-5.87,6.3,-4.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6292','2014',13.9,-0.05,-0.35,3.78,-0.25,-6.29,27.1,-1.72,1.02,-0.34,-24.8,7.29,-2.37,1.55,0.27,21.6,11.1,2,3.31,0.59,15.9,2.44,10.8,1.36);
