insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','24Q2',6.98,0.04,0.53,6.77,0.04,0.66,97,0.12,1.18,-0.21,-15.3,16.9,-3.16,1.49,0.15,10.9,21.3,1.99,2.8,0.15,19.7,1.27,13.5,-0.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2023',13.7,-2.16,-13.7,13,-1.68,-11.5,94.9,2.34,2.16,-1.03,-32.3,15.8,-4.34,2.14,-1.09,-33.7,15.7,-4.75,4.24,-2.48,14.1,-7.73,11.1,-5.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2022',15.8,-1.15,-6.75,14.7,-1.53,-9.48,92.5,-2.79,3.19,-0.27,-7.91,20.1,-0.26,3.24,0.34,11.7,20.4,3.37,6.72,0.71,21.8,1.03,16.9,0.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2021',17,1.48,9.54,16.2,1.54,10.5,95.3,0.83,3.46,0.13,3.94,20.4,-1.1,2.9,0.07,2.39,17.1,-1.19,6.01,-0.19,20.8,-1.75,16,-1.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2020',15.5,4.02,35.1,14.6,4.24,40.7,94.5,3.81,3.33,1.15,52.6,21.5,2.47,2.83,0.84,42.3,18.3,0.93,6.2,1.39,22.5,5.51,17.9,4.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2019',11.5,0.15,1.29,10.4,0.45,4.51,90.7,2.8,2.18,0.09,4.25,19,0.54,1.99,0.08,4.41,17.3,0.52,4.81,0.19,17,0.01,13.7,0.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2018',11.3,1.44,14.6,9.96,1.07,12,87.9,-2.03,2.09,0.1,4.92,18.5,-1.7,1.91,0.2,11.8,16.8,-0.43,4.62,0.01,17,0.67,13.6,0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2017',9.89,2.26,29.6,8.89,1.84,26.1,89.9,-2.54,1.99,0.56,39.4,20.2,1.41,1.7,0.37,27.3,17.2,-0.26,4.61,0.66,16.3,1.94,13.2,1.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2016',7.63,1.21,18.9,7.05,0.98,16.2,92.4,-2.18,1.43,1.74,570,18.8,23.5,1.34,1.62,574,17.5,22.3,3.95,4.78,14.4,18,12.2,15.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2015',6.42,-0.95,-12.9,6.07,-0.57,-8.54,94.6,4.47,-0.3,-0.35,-739,-4.75,-5.39,-0.28,-0.34,-562,-4.86,-5.7,-0.83,-1.01,-3.57,-4.25,-3.15,-3.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3546','2014',7.36,-0.59,-7.39,6.64,-0.69,-9.43,90.1,-2.04,0.05,-0.48,-91,0.65,-6.05,0.06,-0.26,-81.2,0.84,-3.14,0.18,-0.77,0.68,-2.56,0.59,-2.21);
