insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','24Q2',13.1,-1.38,-9.53,4.33,1.73,66.5,32.9,15,2.34,1.74,289,17.9,13.7,1.96,1.61,446,19.7,14.7,1.74,1.42,12.6,9.05,9.65,7.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2023',26.3,-13.9,-34.6,6.28,-2.35,-27.2,23.9,2.42,2.62,-1.01,-27.8,9.96,0.94,1.68,-1.32,-44,9.3,-1.3,1.49,-1.13,5.87,-4.49,4.6,-2.77);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2022',40.2,5.16,14.7,8.63,0.27,3.29,21.5,-2.38,3.62,-0.25,-6.49,9.02,-2.05,3,-0.16,-4.93,10.6,0.68,2.62,-0.05,10.4,1,7.37,0.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2021',35,3.84,12.3,8.36,0.92,12.3,23.9,0.01,3.88,0.3,8.45,11.1,-0.39,3.15,-0.08,-2.49,9.92,-0.44,2.67,-0.07,9.36,-0.12,6.58,-0.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2020',31.2,-5.22,-14.3,7.44,-0.02,-0.25,23.8,3.36,3.57,0.32,9.91,11.5,2.53,3.23,0.27,9.14,10.4,2.23,2.74,0.23,9.48,0.75,6.75,0.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2019',36.4,2.4,7.05,7.46,0.34,4.74,20.5,-0.45,3.25,-0.1,-2.95,8.93,-0.92,2.96,-0.07,-2.28,8.13,-0.78,2.51,-0.06,8.72,-0.17,5.79,-0.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2018',34,2.06,6.44,7.12,-2.59,-26.7,20.9,-9.46,3.35,-2.71,-44.7,9.85,-9.13,3.03,-1.71,-36.1,8.91,-5.93,2.57,-1.45,8.9,-5.32,5.92,-3.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2017',32,-0.29,-0.91,9.71,-0.44,-4.34,30.4,-1.09,6.06,-0.27,-4.33,19,-0.68,4.74,-0.58,-10.9,14.8,-1.66,4.02,-0.49,14.2,-2.8,9.9,-1.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2016',32.2,1.4,4.52,10.2,0.92,9.95,31.5,1.55,6.34,1.22,23.9,19.7,3.07,5.32,1.2,29,16.5,3.13,4.51,0.98,17,2.65,11.5,2.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2015',30.9,1.19,3.99,9.23,1.9,25.9,29.9,5.21,5.12,1.58,44.6,16.6,4.66,4.12,0.62,17.6,13.4,1.55,3.53,0.49,14.4,1.08,9.31,1.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8383','2014',29.7,5.09,20.7,7.33,2.01,37.8,24.7,3.06,3.54,1.41,66.6,11.9,3.28,3.51,1.63,87.1,11.8,4.19,3.04,1.41,13.3,5.76,8.21,3.66);
