insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','24Q2',968,-57.9,-5.64,158,-6.62,-4.02,16.4,0.28,21.1,-6.81,-24.4,2.18,-0.54,9.2,-4.28,-31.7,1.24,-0.99,0.47,-0.22,3.76,-3.06,1.25,-1.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2023',2036,-362,-15.1,331,-14.9,-4.3,16.2,1.84,50.1,-8.41,-14.4,2.46,0.02,29.8,-52.8,-63.9,2.22,-2.4,1.51,-2.69,6.93,-9.81,2.4,-3.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2022',2398,139,6.14,346,20,6.16,14.4,0,58.5,-15.1,-20.5,2.44,-0.82,82.5,-0.56,-0.67,4.62,-0.02,4.2,-0.02,16.7,-0.01,5.92,0.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2021',2260,343,17.9,326,57.3,21.4,14.4,0.41,73.6,7.48,11.3,3.26,-0.19,83.1,33.2,66.5,4.64,1.32,4.22,1.68,16.8,4.86,5.86,1.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2020',1917,219,12.9,268,37.8,16.4,14,0.42,66.1,3.85,6.18,3.45,-0.22,49.9,14.1,39.5,3.32,0.72,2.54,0.72,11.9,1.87,4.15,0.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2019',1698,140,8.97,230,38.1,19.8,13.6,1.23,62.3,16.5,36.1,3.67,0.73,35.8,-4.6,-11.4,2.6,-0.26,1.82,-0.23,10,-1.47,3.45,-0.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2018',1558,189,13.8,192,29.1,17.8,12.4,0.42,45.8,11.7,34.5,2.94,0.45,40.4,-12.6,-23.7,2.86,-1.28,2.05,-0.64,11.5,-4.55,3.89,-1.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2017',1369,73.1,5.64,163,1.3,0.8,11.9,-0.57,34,-10.9,-24.2,2.49,-0.98,52.9,9.49,21.9,4.13,0.99,2.69,0.48,16,3.4,5.54,1.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2016',1296,-35.5,-2.67,162,15.6,10.7,12.5,1.51,44.9,18.9,72.7,3.46,1.51,43.4,21.7,100,3.14,1.45,2.21,1.11,12.6,5.45,4.16,1.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2015',1331,-4.08,-0.31,146,-4.18,-2.77,11,-0.28,26,-3.31,-11.3,1.95,-0.24,21.7,-8.02,-27,1.69,-0.81,1.1,-0.41,7.2,-5.04,2.18,-1.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2352','2014',1335,143,12,151,24.6,19.5,11.3,0.71,29.3,13.7,87.6,2.19,0.88,29.7,22.6,319,2.5,1.32,1.51,1.15,12.2,5.82,3.4,1.81);
