insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','24Q2',4.56,1.26,38.1,0.82,0.22,37.5,17.9,-0.08,0.39,0.12,41.6,8.59,0.21,0.59,0.25,71.4,13,2.53,0.52,0.22,10.3,3.92,9.53,3.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2023',6.72,6.16,1101,1.24,1.22,7081,18.4,15.3,0.51,1.09,187,7.55,112,0.63,1.02,257,9.3,80.2,0.55,0.9,5.7,9.4,5.33,8.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2022',0.56,0.37,190,0.02,-0.03,-66.2,3.08,-23.4,-0.58,0.03,4.17,-104,211,-0.4,0.32,44.6,-70.9,301,-0.35,0.28,-3.71,2.74,-3.46,2.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2021',0.19,-0.42,-68.3,0.05,-0.15,-74.8,26.5,-6.81,-0.61,-0.29,-89,-316,-263,-0.72,0.42,36.7,-372,-185,-0.63,0.35,-6.45,2.64,-6.15,2.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2020',0.61,-2.24,-78.6,0.2,-0.67,-76.9,33.3,2.54,-0.32,-0.44,-363,-53,-57.3,-1.13,-1.18,-2696,-186,-188,-0.98,-1.02,-9.09,-9.46,-8.59,-8.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2019',2.85,-1.94,-40.5,0.88,-0.2,-18.4,30.7,8.34,0.12,-0.19,-61,4.3,-2.25,0.04,-0.19,-81.3,1.53,-3.34,0.04,-0.25,0.38,-2.04,0.29,-1.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2018',4.79,3.85,407,1.07,0.77,253,22.4,-9.78,0.31,0.45,334,6.56,20.7,0.23,-0.1,-30.1,4.87,-30.5,0.29,-0.18,2.42,-2.14,1.5,-1.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2017',0.95,-0.31,-24.5,0.3,0.62,195,32.2,57.7,-0.13,1.16,89.6,-14.2,88.9,0.33,1.82,122,35.3,154,0.47,2.61,4.55,34.5,2.63,17.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2016',1.25,-3.43,-73.3,-0.32,1.07,77,-25.6,4.2,-1.29,1,43.7,-103,-54.1,-1.49,0.46,23.4,-119,-77.4,-2.14,1.11,-30,5.09,-14.9,3.42);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2015',4.68,-7,-59.9,-1.39,-2.28,-258,-29.8,-37.3,-2.29,-2.71,-643,-48.9,-52.6,-1.94,-2.59,-399,-41.5,-47.1,-3.25,-4.38,-35,-46.4,-18.3,-24.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6101','2014',11.7,1.65,16.5,0.88,0.74,539,7.56,6.18,0.42,0.57,386,3.61,5.09,0.65,0.81,514,5.56,7.12,1.13,1.4,11.4,14.4,6.37,8.14);
