insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','24Q1',20.3,3.66,22,1.89,0.84,79.8,9.32,3,0.17,0.44,160,0.81,2.48,-0.13,0.19,58.5,-0.62,1.35,-0.06,0.09,-0.84,1.34,-0.4,0.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2023',82.6,-4.2,-4.84,8.43,1.2,16.7,10.2,1.88,1.9,1.23,184,2.31,1.53,0.32,3.4,110,0.41,3.91,0.15,1.84,0.57,5.69,0.26,2.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2022',86.8,8.66,11.1,7.22,-0.85,-10.6,8.32,-2.01,0.67,-1.33,-66.5,0.77,-1.79,-3.08,-6.98,-179,-3.51,-8.49,-1.69,-3.91,-5.13,-12.1,-2.36,-5.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2021',78.1,20.2,34.9,8.07,1.61,24.9,10.3,-0.83,2,0.63,46.5,2.56,0.2,3.9,3.23,481,4.99,3.83,2.22,1.84,6.96,5.68,3.4,2.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2020',57.9,-2.8,-4.61,6.46,0.79,14,11.2,1.82,1.37,1.16,557,2.36,2.02,0.67,1.27,212,1.16,2.15,0.38,0.72,1.27,2.4,0.65,1.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2019',60.7,5.31,9.59,5.67,0.71,14.4,9.34,0.39,0.21,0.7,142,0.34,1.23,-0.6,0.78,56.6,-0.99,1.51,-0.34,0.45,-1.13,1.31,-0.6,0.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2018',55.4,-15.4,-21.7,4.96,-4.84,-49.4,8.95,-4.89,-0.49,-3.95,-114,-0.89,-5.77,-1.39,-4.19,-150,-2.5,-6.46,-0.79,-2.39,-2.43,-7.26,-1.39,-4.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2017',70.8,8.82,14.2,9.8,-2.8,-22.2,13.8,-6.48,3.46,-2.18,-38.7,4.88,-4.22,2.8,-1.7,-37.8,3.95,-3.3,1.6,-1.24,4.82,-2.87,2.75,-1.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2016',62,-2.18,-3.4,12.6,3,31.2,20.3,5.36,5.64,2,54.9,9.1,3.43,4.5,2.22,97.4,7.26,3.71,2.84,1.34,7.69,3.88,4.68,2.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2015',64.2,7.2,12.6,9.6,0.8,9.1,15,-0.49,3.64,-0.24,-6.19,5.67,-1.14,2.28,0.16,7.53,3.55,-0.17,1.5,0.1,3.81,0.13,2.56,0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8411','2014',57,-29.4,-34,8.8,-6.75,-43.4,15.4,-2.56,3.88,-5.95,-60.5,6.81,-4.56,2.12,-5.03,-70.4,3.72,-4.56,1.4,-5.42,3.68,-12.1,2.52,-7.83);
