insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','24Q2',59.8,-11.4,-16,4.94,-4.8,-49.2,8.27,-5.41,-0.54,-4.35,-114,-0.9,-6.26,0.63,-1.7,-73.1,0.85,-3,0.11,-0.29,1.01,-4.43,0.57,-2.61);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2023',137,-39.3,-22.3,16.8,9.99,147,12.2,8.39,4.6,14.4,147,3.35,8.94,3.42,7.12,192,2.87,4.79,0.59,1.23,3.88,6.97,2.29,4.29);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2022',176,-25.8,-12.8,6.78,-43.6,-86.5,3.84,-21.1,-9.84,-43,-130,-5.58,-22,-3.7,-28.4,-115,-1.91,-14.9,-0.64,-4.89,-3.09,-26.9,-2.01,-19.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2021',202,64.9,47.2,50.4,16.8,50,24.9,0.46,33.2,11.7,54.7,16.4,0.79,24.7,8.34,51.1,13,-0.03,4.25,1.3,23.8,4.93,17,3.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2020',137,-13.8,-9.16,33.6,13.9,70.6,24.5,11.4,21.4,13.7,177,15.6,10.5,16.3,9.92,154,13,8.43,2.95,1.73,18.8,10.9,13.7,8.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2019',151,-0.75,-0.49,19.7,-7.33,-27.1,13,-4.76,7.74,-7.99,-50.8,5.12,-5.23,6.43,-6.33,-49.6,4.62,-4.31,1.22,-1.3,7.97,-7.98,5.46,-5.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2018',152,4.91,3.34,27,-0.74,-2.68,17.8,-1.1,15.7,-0.78,-4.72,10.4,-0.88,12.8,0.06,0.5,8.93,-0.18,2.52,-0.06,15.9,-0.84,10.5,0.16);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2017',147,5.44,3.85,27.8,-1.63,-5.56,18.9,-1.88,16.5,-2.24,-11.9,11.2,-2.01,12.7,-1.73,-12,9.11,-1.79,2.58,-0.44,16.8,-4.44,10.3,-1.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2016',142,3.15,2.28,29.4,9.92,50.9,20.8,6.69,18.7,9.58,105,13.2,6.62,14.4,6.76,88,10.9,5.03,3.02,1.38,21.2,8.59,12,5.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2015',138,-7.18,-4.93,19.5,8.12,71.4,14.1,6.27,9.16,8.2,851,6.62,5.96,7.68,6.49,546,5.87,5.03,1.64,1.39,12.6,10.7,6.84,5.77);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2014',146,3.69,2.6,11.4,-8.26,-42.1,7.81,-6.03,0.96,-8.14,-89.4,0.66,-5.75,1.19,-6.34,-84.2,0.84,-4.9,0.25,-1.42,1.98,-11.6,1.07,-6.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2013',142,0.25,0.18,19.6,-0.98,-4.75,13.8,-0.72,9.1,-0.78,-7.89,6.42,-0.56,7.53,-0.81,-9.68,5.74,-0.95,1.67,-0.3,13.6,-4.29,7.19,-1.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2012',142,17,13.7,20.6,11,115,14.5,6.84,9.88,10.4,2135,6.98,7.37,8.34,9.26,1006,6.69,7.61,1.97,2.19,17.9,20.2,8.51,9.57);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1305','2011',125,5.62,4.72,9.61,-0.25,-2.56,7.71,-0.58,-0.49,-0.73,-295,-0.39,-0.6,-0.92,-0.97,-2130,-0.92,-0.97,-0.22,-0.23,-2.32,-2.43,-1.05,-1.11);
