insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','24Q2',4.06,0.74,22.5,1.05,0.2,22.9,25.8,0.1,-0.49,-0.41,-520,-12.1,-9.69,-0.13,-0.13,-1350,-3.31,-3.03,-0.4,-0.37,-3.83,-3.59,-3.19,-2.99);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2023',7.39,-3.6,-32.8,2.01,-1.56,-43.7,27.2,-5.28,0.01,-1.76,-99.6,0.1,-16,0.07,-1.7,-96.3,0.88,-15.2,0.2,-6.27,0.83,-24.9,0.7,-19.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2022',11,-0.07,-0.68,3.57,0.48,15.4,32.5,4.53,1.77,0.01,0.52,16.1,0.19,1.76,0.36,25.9,16,3.39,6.47,0.74,25.8,-2.7,19.9,-0.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2021',11.1,4.26,62.7,3.09,1.84,146,28,9.49,1.76,1.52,622,15.9,12.3,1.4,1.25,854,12.7,10.5,5.73,5.14,28.5,25.1,20.3,17.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2020',6.8,0.31,4.86,1.26,-0.04,-2.95,18.5,-1.49,0.24,0.08,49.7,3.59,1.07,0.15,0.01,10.3,2.16,0.11,0.59,0.06,3.38,0.5,2.49,0.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2019',6.48,-1.76,-21.4,1.29,-0.72,-35.8,20,-4.48,0.16,-0.65,-80,2.51,-7.37,0.13,-0.62,-82.4,2.05,-7.11,0.53,-3.09,2.89,-17.5,2.21,-12.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2018',8.24,2.42,41.5,2.01,0.95,89.4,24.4,6.18,0.81,0.72,783,9.88,8.3,0.76,0.73,2813,9.16,8.72,3.62,3.49,20.4,19.4,14.5,13.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2017',5.83,1.57,36.8,1.06,0.25,31.5,18.3,-0.74,0.09,0.14,282,1.58,2.77,0.03,0,-4.11,0.45,-0.19,0.13,-0.01,1.02,-0.01,0.66,-0.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2016',4.26,-0.39,-8.49,0.81,-0.18,-18.5,19,-2.34,-0.05,-0.16,-145,-1.19,-3.62,0.03,-0.14,-83.5,0.64,-2.89,0.14,-0.68,1.03,-5.08,0.73,-3.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2015',4.65,-0.27,-5.42,0.99,0.03,3.47,21.3,1.83,0.11,-0.01,-8.29,2.43,-0.08,0.16,-0.07,-29.3,3.53,-1.19,0.82,-0.34,6.11,-2.66,4.44,-1.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4923','2014',4.92,-0.57,-10.4,0.96,-0.07,-6.8,19.5,0.76,0.12,-0.07,-34.6,2.51,-0.93,0.23,0.02,11.6,4.72,0.93,1.16,0.12,8.77,0.47,6.29,0.78);
