insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','24Q2',33.4,-7.32,-18,11.9,-2.1,-15,35.8,1.28,4.38,-1.9,-30.3,13.1,-2.31,7.24,0,0.06,21.8,3.99,4.1,0,14.2,-1.3,9.96,-0.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2023',75.8,-3.65,-4.59,28,-0.74,-2.57,37,0.77,11.6,-1.62,-12.3,15.3,-1.34,13.8,-1.1,-7.37,18.2,-0.54,7.83,-0.62,14.3,-2.97,9.98,-1.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2022',79.4,17,27.2,28.8,7.86,37.6,36.2,2.73,13.2,5.97,82.8,16.6,5.04,14.9,6.26,72.3,18.8,4.91,8.45,3.55,17.3,6.2,11.9,4.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2021',62.4,2.96,4.98,20.9,-0.49,-2.31,33.5,-2.5,7.21,-1.72,-19.3,11.5,-3.47,8.66,-1.31,-13.1,13.9,-2.89,4.9,-0.74,11.1,-2.79,7.71,-2.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2020',59.5,3.41,6.08,21.4,1.66,8.38,36,0.76,8.93,2.38,36.4,15,3.34,9.97,3.23,47.9,16.8,4.72,5.64,2.82,13.9,4.67,9.8,3.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2019',56.1,-5.79,-9.36,19.8,0.04,0.18,35.2,3.36,6.55,-0.32,-4.67,11.7,0.58,6.74,-2.24,-24.9,12,-2.49,2.82,-0.05,9.19,-2.33,6.65,-1.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2018',61.9,-7.1,-10.3,19.7,-2.63,-11.8,31.9,-0.54,6.87,-2.95,-30,11.1,-3.14,8.98,-0.26,-2.85,14.5,1.11,2.87,0.05,11.5,-0.32,8.1,0.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2017',69,-7.48,-9.79,22.4,-3.56,-13.7,32.4,-1.48,9.82,-3.54,-26.5,14.2,-3.24,9.24,-4.43,-32.4,13.4,-4.48,2.82,-1.34,11.8,-5.91,8.02,-3.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2016',76.4,8.18,12,25.9,3.24,14.3,33.9,0.69,13.4,3.45,34.9,17.5,2.96,13.7,2,17.2,17.9,0.79,4.16,0.61,17.8,1.9,11.5,3.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2015',68.3,4.54,7.12,22.7,2.44,12.1,33.2,1.46,9.91,3.06,44.6,14.5,3.76,11.7,-3.14,-21.2,17.1,-6.15,3.55,-0.96,15.9,-4.93,8.48,-0.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2014',63.7,14.8,30.3,20.2,4.56,29.1,31.8,-0.29,6.85,2.73,66.4,10.8,2.33,14.8,3.6,32.1,23.2,0.42,4.51,0.89,20.8,3.85,9.12,0.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2013',48.9,-6.22,-11.3,15.7,-2.83,-15.3,32,-1.51,4.12,-2.02,-32.9,8.42,-2.72,11.2,1.13,11.2,22.8,4.53,3.62,0.2,16.9,0.31,8.27,-1.67);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2012',55.1,-17,-23.5,18.5,-2.46,-11.7,33.6,4.48,6.14,-1.55,-20.1,11.1,0.47,10.1,-3.66,-26.7,18.3,-0.78,3.42,-2.65,16.6,-8.33,9.94,-5.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3022','2011',72.1,9.59,15.3,21,2.84,15.7,29.1,0.08,7.69,0.93,13.7,10.7,-0.15,13.7,5.44,65.4,19.1,5.77,6.07,2.17,24.9,6.25,15.1,3.93);
