insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','25Q1',0.72,0.28,64.3,-1.21,-0.51,-72.5,-168,-7.96,-2.65,-0.7,-35.6,-367,77.9,-2.23,-0.39,-21.4,-354,103,-0.53,-0.09,-18.8,-4.69,-12.2,-3.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2024',15.6,-2.28,-12.8,4.48,0.37,9.03,28.8,5.76,-2.99,4.24,58.6,-19.2,21.3,-2.43,3.97,62.1,-21.6,21.5,-0.58,0.94,-5.93,6.56,-3.75,4.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2023',17.9,-4.67,-20.7,4.11,-4.8,-53.9,23,-16.6,-7.23,-8.16,-872,-40.5,-44.6,-6.4,-9.31,-320,-43.1,-49.6,-1.52,-2.2,-12.5,-14.8,-8.26,-9.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2022',22.5,4.58,25.5,8.91,2.74,44.5,39.6,5.19,0.94,1.48,273,4.16,7.17,2.91,2.48,576,6.49,5.7,0.68,0.58,2.25,2.03,1.7,1.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2021',17.9,-0.75,-4.03,6.17,-0.06,-1,34.4,1.05,-0.54,-0.28,-110,-3.02,-1.63,0.43,-12,-96.5,0.8,-63.3,0.1,-2.93,0.22,-22.7,0.17,-15.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2020',18.7,5.69,43.8,6.23,4.55,272,33.3,20.4,-0.26,2.73,91.4,-1.38,21.6,12.4,15.2,542,64.1,88.3,3.03,3.93,22.9,34,15.9,21.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2019',13,4.77,58,1.68,4.62,157,12.9,48.7,-2.99,4.26,58.8,-23,65.2,-2.81,3.37,54.6,-24.2,57.8,-0.9,1.73,-11.1,21,-5.14,6.67);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2018',8.22,2.6,46.1,-2.94,-0.33,-12.7,-35.8,10.6,-7.25,-0.2,-2.83,-88.2,37.1,-6.18,1.42,18.7,-82,56,-2.63,0.61,-32.1,-3.54,-11.8,0.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2017',5.63,-0.44,-7.25,-2.61,-0.73,-38.5,-46.4,-15.3,-7.05,-1.13,-19.2,-125,-27.8,-7.6,-1.65,-27.7,-138,-34.6,-3.24,-0.7,-28.5,-10,-12.4,-2.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2016',6.07,3.16,109,-1.89,1.02,35,-31.1,68.8,-5.92,1.46,19.7,-97.6,156,-5.95,1.66,21.8,-103,166,-2.54,0.7,-18.5,0.68,-10.3,3.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4142','2015',2.91,-1.9,-39.5,-2.9,-0.85,-41.5,-99.9,-57.2,-7.38,-0.9,-13.9,-254,-119,-7.61,-1.47,-23.9,-269,-140,-3.24,-0.2,-19.2,-3.15,-13.9,-2.96);
