insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','25Q1',4.32,-0.11,-2.4,1.75,-0.05,-2.81,40.5,-0.17,-0.13,-0.08,-165,-3.12,-1.97,0.05,-0.18,-80.2,1.15,-4.02,0.01,-0.06,0.53,-1.85,0.45,-1.57);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2024',16.7,-0.43,-2.51,6.84,-0.12,-1.79,41,0.3,-0.5,-0.29,-139,-3.01,-1.78,0.11,-0.02,-12.7,0.59,-0.24,0.03,-0.01,0.26,-0.12,0.22,-0.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2023',17.1,-0.25,-1.44,6.97,-0.02,-0.26,40.7,0.48,-0.21,-0.28,-393,-1.23,-1.64,0.12,-0.43,-77.5,0.83,-2.4,0.04,-0.12,0.38,-1.15,0.32,-0.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2022',17.3,-1.07,-5.83,6.99,-0.2,-2.79,40.3,1.26,0.07,0.05,235,0.41,0.3,0.55,-1.4,-71.8,3.23,-7.41,0.16,-0.42,1.53,-4.06,1.24,-3.37);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2021',18.4,0.98,5.61,7.19,0.68,10.4,39,1.7,0.02,-0.53,-96.1,0.12,-3.06,1.96,1.37,236,10.6,7.08,0.58,0.41,5.58,3.76,4.61,3.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2020',17.4,-14.3,-45.1,6.51,-0.73,-10.1,37.3,14.5,0.55,0.46,467,3.18,2.87,0.58,0.54,1349,3.56,3.31,0.17,0.16,1.82,1.59,1.49,1.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2019',31.8,-10.3,-24.5,7.24,1.08,17.5,22.8,8.15,0.1,1.82,106,0.31,4.42,0.04,1.4,103,0.25,3.48,0.01,0.41,0.23,4.27,0.19,3.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2018',42,-5.57,-11.7,6.16,0.52,9.14,14.6,2.79,-1.73,0.86,33.3,-4.11,1.33,-1.36,0.15,9.72,-3.23,-0.07,-0.4,0.06,-4.04,0.18,-3.12,0.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2017',47.6,5.72,13.7,5.64,-2.57,-31.3,11.8,-7.75,-2.59,-2.67,-3351,-5.44,-5.63,-1.5,-0.51,-51.5,-3.16,-0.79,-0.46,-0.17,-4.22,-1.6,-3.13,-1.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2016',41.9,-8.38,-16.7,8.21,1.36,19.9,19.6,5.98,0.08,2.61,103,0.19,5.22,-0.99,1.14,53.5,-2.37,1.95,-0.29,0.34,-2.63,2.94,-2.03,2.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2405','2015',50.3,-17.4,-25.7,6.85,-2.25,-24.8,13.6,0.17,-2.53,-1.18,-87.4,-5.03,-3.04,-2.13,0.34,13.7,-4.32,-0.54,-0.63,0.08,-5.57,0.65,-4.06,-0.61);
